-17.368206,-66.127676, Calle Bolívar #100, Queru Queru, D1
-17.371479,-66.116234, Calle Sucre #101, Aranjuez, D1
-17.366171,-66.122747, Av. Ayacucho #102, Mesadilla, D1
-17.365550,-66.123292, Calle Aroma #103, Queru Queru, D1
-17.370317,-66.133673, Calle Baptista #104, Aranjuez, D1
-17.376052,-66.122349, Calle Bolívar #105, Mesadilla, D1
-17.373199,-66.136580, Calle Sucre #106, Queru Queru, D1
-17.364177,-66.143599, Av. Ayacucho #107, Aranjuez, D1
-17.365645,-66.123476, Calle Aroma #108, Mesadilla, D1
-17.366907,-66.119196, Calle Baptista #109, Queru Queru, D1
-17.372560,-66.114351, Calle Bolívar #110, Aranjuez, D1
-17.365679,-66.109888, Calle Sucre #111, Mesadilla, D1
-17.377153,-66.126314, Av. Ayacucho #112, Queru Queru, D1
-17.365855,-66.143316, Calle Aroma #113, Aranjuez, D1
-17.363601,-66.126067, Calle Baptista #114, Mesadilla, D1
-17.364909,-66.138958, Calle Bolívar #115, Queru Queru, D1
-17.366577,-66.128741, Calle Sucre #116, Aranjuez, D1
-17.369858,-66.134511, Av. Ayacucho #117, Mesadilla, D1
-17.365589,-66.130094, Calle Aroma #118, Queru Queru, D1
-17.362911,-66.146096, Calle Baptista #119, Aranjuez, D1
-17.364689,-66.121251, Calle Bolívar #120, Mesadilla, D1
-17.372359,-66.111255, Calle Sucre #121, Queru Queru, D1
-17.368472,-66.111894, Av. Ayacucho #122, Aranjuez, D1
-17.360824,-66.146165, Calle Aroma #123, Mesadilla, D1
-17.376849,-66.115798, Calle Baptista #124, Queru Queru, D1
-17.377213,-66.122068, Calle Bolívar #125, Aranjuez, D1
-17.366216,-66.124295, Calle Sucre #126, Mesadilla, D1
-17.370360,-66.133951, Av. Ayacucho #127, Queru Queru, D1
-17.365873,-66.145143, Calle Aroma #128, Aranjuez, D1
-17.370379,-66.116339, Calle Baptista #129, Mesadilla, D1
-17.372413,-66.111987, Calle Bolívar #130, Queru Queru, D1
-17.367296,-66.142383, Calle Sucre #131, Aranjuez, D1
-17.373122,-66.134541, Av. Ayacucho #132, Mesadilla, D1
-17.367588,-66.126176, Calle Aroma #133, Queru Queru, D1
-17.369662,-66.122486, Calle Baptista #134, Aranjuez, D1
-17.367351,-66.142326, Calle Bolívar #135, Mesadilla, D1
-17.369887,-66.132212, Calle Sucre #136, Queru Queru, D1
-17.369531,-66.119711, Av. Ayacucho #137, Aranjuez, D1
-17.367064,-66.119252, Calle Aroma #138, Mesadilla, D1
-17.363784,-66.121556, Calle Baptista #139, Queru Queru, D1
-17.376616,-66.129419, Calle Bolívar #140, Aranjuez, D1
-17.374859,-66.118990, Calle Sucre #141, Mesadilla, D1
-17.362481,-66.142697, Av. Ayacucho #142, Queru Queru, D1
-17.367057,-66.129510, Calle Aroma #143, Aranjuez, D1
-17.364816,-66.127214, Calle Baptista #144, Mesadilla, D1
-17.361810,-66.144068, Calle Bolívar #145, Queru Queru, D1
-17.370462,-66.135656, Calle Sucre #146, Aranjuez, D1
-17.371819,-66.118998, Av. Ayacucho #147, Mesadilla, D1
-17.362760,-66.137562, Calle Aroma #148, Queru Queru, D1
-17.363009,-66.147302, Calle Baptista #149, Aranjuez, D1
-17.377303,-66.124167, Calle Bolívar #150, Mesadilla, D1
-17.376539,-66.130360, Calle Sucre #151, Queru Queru, D1
-17.366460,-66.145396, Av. Ayacucho #152, Aranjuez, D1
-17.366423,-66.125791, Calle Aroma #153, Mesadilla, D1
-17.363604,-66.148341, Calle Baptista #154, Queru Queru, D1
-17.362586,-66.147373, Calle Bolívar #155, Aranjuez, D1
-17.366168,-66.108009, Calle Sucre #156, Mesadilla, D1
-17.368271,-66.121675, Av. Ayacucho #157, Queru Queru, D1
-17.368110,-66.123877, Calle Aroma #158, Aranjuez, D1
-17.375614,-66.117881, Calle Baptista #159, Mesadilla, D1
-17.372560,-66.123356, Calle Bolívar #160, Queru Queru, D1
-17.367796,-66.124416, Calle Sucre #161, Aranjuez, D1
-17.375765,-66.114560, Av. Ayacucho #162, Mesadilla, D1
-17.371919,-66.131638, Calle Aroma #163, Queru Queru, D1
-17.359867,-66.149937, Calle Baptista #164, Aranjuez, D1
-17.371962,-66.132522, Calle Bolívar #165, Mesadilla, D1
-17.369144,-66.115261, Calle Sucre #166, Queru Queru, D1
-17.370251,-66.135520, Av. Ayacucho #167, Aranjuez, D1
-17.366150,-66.126732, Calle Aroma #168, Mesadilla, D1
-17.373821,-66.127974, Calle Baptista #169, Queru Queru, D1
-17.363189,-66.135358, Calle Bolívar #170, Aranjuez, D1
-17.365289,-66.123507, Calle Sucre #171, Mesadilla, D1
-17.370142,-66.126315, Av. Ayacucho #172, Queru Queru, D1
-17.369924,-66.136596, Calle Aroma #173, Aranjuez, D1
-17.373187,-66.116192, Calle Baptista #174, Mesadilla, D1
-17.370723,-66.127219, Calle Bolívar #175, Queru Queru, D1
-17.374349,-66.120291, Calle Sucre #176, Aranjuez, D1
-17.364626,-66.118493, Av. Ayacucho #177, Mesadilla, D1
-17.377403,-66.125551, Calle Aroma #178, Queru Queru, D1
-17.372714,-66.132070, Calle Baptista #179, Aranjuez, D1
-17.362499,-66.143765, Calle Bolívar #180, Mesadilla, D1
-17.363641,-66.134719, Calle Sucre #181, Queru Queru, D1
-17.368037,-66.131348, Av. Ayacucho #182, Aranjuez, D1
-17.378662,-66.120610, Calle Aroma #183, Mesadilla, D1
-17.370291,-66.129652, Calle Baptista #184, Queru Queru, D1
-17.366384,-66.126903, Calle Bolívar #185, Aranjuez, D1
-17.374569,-66.130186, Calle Sucre #186, Mesadilla, D1
-17.364158,-66.146876, Av. Ayacucho #187, Queru Queru, D1
-17.364565,-66.137799, Calle Aroma #188, Aranjuez, D1
-17.373960,-66.118600, Calle Baptista #189, Mesadilla, D1
-17.378186,-66.129101, Calle Bolívar #190, Queru Queru, D1
-17.369655,-66.119928, Calle Sucre #191, Aranjuez, D1
-17.375951,-66.125906, Av. Ayacucho #192, Mesadilla, D1
-17.368311,-66.121911, Calle Aroma #193, Queru Queru, D1
-17.377599,-66.125974, Calle Baptista #194, Aranjuez, D1
-17.365720,-66.140149, Calle Bolívar #195, Mesadilla, D1
-17.369048,-66.115743, Calle Sucre #196, Queru Queru, D1
-17.367057,-66.113727, Av. Ayacucho #197, Aranjuez, D1
-17.364614,-66.137614, Calle Aroma #198, Mesadilla, D1
