-17.394985,-66.159656, Calle 14 de Septiembre #100, Sudeste, D10
-17.406825,-66.168371, Calle Altamirano #101, Noreste, D10
-17.383369,-66.159011, Calle Gualberto Villarroel #102, Noroeste, D10
-17.406987,-66.154950, Calle Avaroa #103, Sudeste, D10
-17.401228,-66.160080, Calle Galindo #104, Noreste, D10
-17.385131,-66.153536, Calle 14 de Septiembre #105, Noroeste, D10
-17.396934,-66.149291, Calle Altamirano #106, Sudeste, D10
-17.402131,-66.161116, Calle Gualberto Villarroel #107, Noreste, D10
-17.387964,-66.150778, Calle Avaroa #108, Noroeste, D10
-17.394520,-66.151862, Calle Galindo #109, Sudeste, D10
-17.399375,-66.156147, Calle 14 de Septiembre #110, Noreste, D10
-17.395469,-66.165016, Calle Altamirano #111, Noroeste, D10
-17.399253,-66.158674, Calle Gualberto Villarroel #112, Sudeste, D10
-17.410316,-66.157985, Calle Avaroa #113, Noreste, D10
-17.402592,-66.163235, Calle Galindo #114, Noroeste, D10
-17.408146,-66.166559, Calle 14 de Septiembre #115, Sudeste, D10
-17.383406,-66.154050, Calle Altamirano #116, Noreste, D10
-17.393378,-66.155490, Calle Gualberto Villarroel #117, Noroeste, D10
-17.408240,-66.163972, Calle Avaroa #118, Sudeste, D10
-17.402712,-66.154461, Calle Galindo #119, Noreste, D10
-17.401155,-66.153301, Calle 14 de Septiembre #120, Noroeste, D10
-17.404077,-66.156499, Calle Altamirano #121, Sudeste, D10
-17.395114,-66.162954, Calle Gualberto Villarroel #122, Noreste, D10
-17.386171,-66.157792, Calle Avaroa #123, Noroeste, D10
-17.405559,-66.159704, Calle Galindo #124, Sudeste, D10
-17.399353,-66.155018, Calle 14 de Septiembre #125, Noreste, D10
-17.395140,-66.155960, Calle Altamirano #126, Noroeste, D10
-17.409847,-66.159316, Calle Gualberto Villarroel #127, Sudeste, D10
-17.400824,-66.166085, Calle Avaroa #128, Noreste, D10
-17.392516,-66.162117, Calle Galindo #129, Noroeste, D10
-17.407820,-66.156719, Calle 14 de Septiembre #130, Sudeste, D10
-17.410482,-66.163201, Calle Altamirano #131, Noreste, D10
-17.391783,-66.155808, Calle Gualberto Villarroel #132, Noroeste, D10
-17.394876,-66.151223, Calle Avaroa #133, Sudeste, D10
-17.404768,-66.158800, Calle Galindo #134, Noreste, D10
-17.402578,-66.153412, Calle 14 de Septiembre #135, Noroeste, D10
-17.398934,-66.161035, Calle Altamirano #136, Sudeste, D10
-17.402468,-66.165799, Calle Gualberto Villarroel #137, Noreste, D10
-17.395981,-66.162573, Calle Avaroa #138, Noroeste, D10
-17.389076,-66.155201, Calle Galindo #139, Sudeste, D10
-17.391190,-66.150532, Calle 14 de Septiembre #140, Noreste, D10
-17.381840,-66.152659, Calle Altamirano #141, Noroeste, D10
-17.410540,-66.159843, Calle Gualberto Villarroel #142, Sudeste, D10
-17.384836,-66.154385, Calle Avaroa #143, Noreste, D10
-17.407187,-66.154606, Calle Galindo #144, Noroeste, D10
-17.383684,-66.161935, Calle 14 de Septiembre #145, Sudeste, D10
-17.398559,-66.153826, Calle Altamirano #146, Noreste, D10
-17.408757,-66.163177, Calle Gualberto Villarroel #147, Noroeste, D10
-17.400763,-66.157994, Calle Avaroa #148, Sudeste, D10
-17.405612,-66.169451, Calle Galindo #149, Noreste, D10
-17.398124,-66.163485, Calle 14 de Septiembre #150, Noroeste, D10
-17.403041,-66.162360, Calle Altamirano #151, Sudeste, D10
-17.405497,-66.167796, Calle Gualberto Villarroel #152, Noreste, D10
-17.401271,-66.156932, Calle Avaroa #153, Noroeste, D10
-17.391671,-66.154035, Calle Galindo #154, Sudeste, D10
-17.388758,-66.157110, Calle 14 de Septiembre #155, Noreste, D10
-17.385923,-66.156865, Calle Altamirano #156, Noroeste, D10
-17.384980,-66.157232, Calle Gualberto Villarroel #157, Sudeste, D10
-17.388562,-66.160073, Calle Avaroa #158, Noreste, D10
-17.384483,-66.152134, Calle Galindo #159, Noroeste, D10
-17.382730,-66.155483, Calle 14 de Septiembre #160, Sudeste, D10
-17.408912,-66.158717, Calle Altamirano #161, Noreste, D10
-17.400665,-66.156750, Calle Gualberto Villarroel #162, Noroeste, D10
-17.405389,-66.165411, Calle Avaroa #163, Sudeste, D10
-17.393882,-66.159916, Calle Galindo #164, Noreste, D10
-17.397872,-66.163129, Calle 14 de Septiembre #165, Noroeste, D10
-17.384837,-66.160810, Calle Altamirano #166, Sudeste, D10
-17.395234,-66.161485, Calle Gualberto Villarroel #167, Noreste, D10
-17.410700,-66.160042, Calle Avaroa #168, Noroeste, D10
-17.399330,-66.153876, Calle Galindo #169, Sudeste, D10
-17.410294,-66.163464, Calle 14 de Septiembre #170, Noreste, D10
-17.405767,-66.160948, Calle Altamirano #171, Noroeste, D10
-17.403053,-66.160837, Calle Gualberto Villarroel #172, Sudeste, D10
-17.405342,-66.165445, Calle Avaroa #173, Noreste, D10
-17.382115,-66.153684, Calle Galindo #174, Noroeste, D10
-17.393709,-66.163902, Calle 14 de Septiembre #175, Sudeste, D10
-17.395933,-66.155494, Calle Altamirano #176, Noreste, D10
-17.411007,-66.158663, Calle Gualberto Villarroel #177, Noroeste, D10
-17.406755,-66.157899, Calle Avaroa #178, Sudeste, D10
-17.402903,-66.152865, Calle Galindo #179, Noreste, D10
-17.403722,-66.154822, Calle 14 de Septiembre #180, Noroeste, D10
-17.397787,-66.156918, Calle Altamirano #181, Sudeste, D10
-17.408709,-66.164465, Calle Gualberto Villarroel #182, Noreste, D10
-17.394203,-66.158032, Calle Avaroa #183, Noroeste, D10
-17.383845,-66.155826, Calle Galindo #184, Sudeste, D10
-17.403036,-66.155324, Calle 14 de Septiembre #185, Noreste, D10
-17.398570,-66.148974, Calle Altamirano #186, Noroeste, D10
-17.399128,-66.161967, Calle Gualberto Villarroel #187, Sudeste, D10
-17.392902,-66.163826, Calle Avaroa #188, Noreste, D10
-17.401908,-66.163853, Calle Galindo #189, Noroeste, D10
-17.400258,-66.155675, Calle 14 de Septiembre #190, Sudeste, D10
-17.405399,-66.166118, Calle Altamirano #191, Noreste, D10
-17.404623,-66.167339, Calle Gualberto Villarroel #192, Noroeste, D10
-17.397263,-66.156692, Calle Avaroa #193, Sudeste, D10
-17.392492,-66.161879, Calle Galindo #194, Noreste, D10
-17.393135,-66.152601, Calle 14 de Septiembre #195, Noroeste, D10
-17.387501,-66.162420, Calle Altamirano #196, Sudeste, D10
-17.402055,-66.155238, Calle Gualberto Villarroel #197, Noreste, D10
-17.386367,-66.159101, Calle Avaroa #198, Noroeste, D10
-17.398292,-66.155302, Calle Galindo #199, Sudeste, D10
-17.408720,-66.165120, Calle 14 de Septiembre #200, Noreste, D10
-17.406001,-66.165961, Calle Altamirano #201, Noroeste, D10
-17.380651,-66.155135, Calle Gualberto Villarroel #202, Sudeste, D10
-17.399031,-66.164538, Calle Avaroa #203, Noreste, D10
-17.405594,-66.167488, Calle Galindo #204, Noroeste, D10
-17.401702,-66.154374, Calle 14 de Septiembre #205, Sudeste, D10
-17.405011,-66.159110, Calle Altamirano #206, Noreste, D10
-17.401254,-66.160846, Calle Gualberto Villarroel #207, Noroeste, D10
-17.389100,-66.159681, Calle Avaroa #208, Sudeste, D10
-17.387424,-66.158535, Calle Galindo #209, Noreste, D10
-17.405090,-66.165866, Calle 14 de Septiembre #210, Noroeste, D10
-17.399233,-66.163893, Calle Altamirano #211, Sudeste, D10
-17.404292,-66.162494, Calle Gualberto Villarroel #212, Noreste, D10
-17.387421,-66.157808, Calle Avaroa #213, Noroeste, D10
-17.409435,-66.161788, Calle Galindo #214, Sudeste, D10
-17.399254,-66.165984, Calle 14 de Septiembre #215, Noreste, D10
-17.401144,-66.165276, Calle Altamirano #216, Noroeste, D10
-17.399212,-66.161735, Calle Gualberto Villarroel #217, Sudeste, D10
-17.393323,-66.150125, Calle Avaroa #218, Noreste, D10
-17.391751,-66.154533, Calle Galindo #219, Noroeste, D10
-17.407860,-66.155377, Calle 14 de Septiembre #220, Sudeste, D10
-17.393669,-66.152894, Calle Altamirano #221, Noreste, D10
-17.397534,-66.149701, Calle Gualberto Villarroel #222, Noroeste, D10
-17.392622,-66.150842, Calle Avaroa #223, Sudeste, D10
-17.400909,-66.165164, Calle Galindo #224, Noreste, D10
-17.392378,-66.150983, Calle 14 de Septiembre #225, Noroeste, D10
-17.396691,-66.160694, Calle Altamirano #226, Sudeste, D10
-17.394253,-66.156127, Calle Gualberto Villarroel #227, Noreste, D10
-17.403381,-66.167609, Calle Avaroa #228, Noroeste, D10
-17.399895,-66.157891, Calle Galindo #229, Sudeste, D10
-17.390428,-66.158053, Calle 14 de Septiembre #230, Noreste, D10
-17.404625,-66.156795, Calle Altamirano #231, Noroeste, D10
-17.392512,-66.159067, Calle Gualberto Villarroel #232, Sudeste, D10
-17.410308,-66.161845, Calle Avaroa #233, Noreste, D10
-17.388945,-66.157231, Calle Galindo #234, Noroeste, D10
-17.390719,-66.160584, Calle 14 de Septiembre #235, Sudeste, D10
-17.385954,-66.162094, Calle Altamirano #236, Noreste, D10
-17.410951,-66.157813, Calle Gualberto Villarroel #237, Noroeste, D10
-17.399096,-66.164323, Calle Avaroa #238, Sudeste, D10
-17.383911,-66.151905, Calle Galindo #239, Noreste, D10
-17.382466,-66.153886, Calle 14 de Septiembre #240, Noroeste, D10
-17.409079,-66.165729, Calle Altamirano #241, Sudeste, D10
-17.402671,-66.158392, Calle Gualberto Villarroel #242, Noreste, D10
-17.406339,-66.155041, Calle Avaroa #243, Noroeste, D10
-17.402472,-66.153417, Calle Galindo #244, Sudeste, D10
-17.401503,-66.155536, Calle 14 de Septiembre #245, Noreste, D10
-17.409503,-66.162009, Calle Altamirano #246, Noroeste, D10
-17.381318,-66.153454, Calle Gualberto Villarroel #247, Sudeste, D10
-17.381921,-66.154667, Calle Avaroa #248, Noreste, D10
-17.403842,-66.163571, Calle Galindo #249, Noroeste, D10
-17.392943,-66.165187, Calle 14 de Septiembre #250, Sudeste, D10
-17.393613,-66.162802, Calle Altamirano #251, Noreste, D10
-17.403280,-66.168123, Calle Gualberto Villarroel #252, Noroeste, D10
-17.409173,-66.159854, Calle Avaroa #253, Sudeste, D10
-17.391371,-66.159886, Calle Galindo #254, Noreste, D10
-17.408350,-66.163069, Calle 14 de Septiembre #255, Noroeste, D10
-17.384332,-66.160108, Calle Altamirano #256, Sudeste, D10
-17.391401,-66.153586, Calle Gualberto Villarroel #257, Noreste, D10
-17.399089,-66.155496, Calle Avaroa #258, Noroeste, D10
-17.405837,-66.160871, Calle Galindo #259, Sudeste, D10
-17.401625,-66.155711, Calle 14 de Septiembre #260, Noreste, D10
-17.391068,-66.152931, Calle Altamirano #261, Noroeste, D10
-17.388680,-66.154496, Calle Gualberto Villarroel #262, Sudeste, D10
-17.400962,-66.167070, Calle Avaroa #263, Noreste, D10
-17.387304,-66.157093, Calle Galindo #264, Noroeste, D10
-17.395335,-66.153362, Calle 14 de Septiembre #265, Sudeste, D10
-17.400289,-66.166216, Calle Altamirano #266, Noreste, D10
-17.384616,-66.155998, Calle Gualberto Villarroel #267, Noroeste, D10
-17.386626,-66.154084, Calle Avaroa #268, Sudeste, D10
-17.382874,-66.153360, Calle Galindo #269, Noreste, D10
-17.383231,-66.155360, Calle 14 de Septiembre #270, Noroeste, D10
-17.405815,-66.166744, Calle Altamirano #271, Sudeste, D10
-17.410814,-66.156725, Calle Gualberto Villarroel #272, Noreste, D10
-17.403514,-66.167259, Calle Avaroa #273, Noroeste, D10
-17.398706,-66.153553, Calle Galindo #274, Sudeste, D10
-17.389516,-66.157222, Calle 14 de Septiembre #275, Noreste, D10
-17.407549,-66.155028, Calle Altamirano #276, Noroeste, D10
-17.403828,-66.155449, Calle Gualberto Villarroel #277, Sudeste, D10
-17.405971,-66.165800, Calle Avaroa #278, Noreste, D10
-17.385906,-66.159454, Calle Galindo #279, Noroeste, D10
-17.408770,-66.158687, Calle 14 de Septiembre #280, Sudeste, D10
-17.401152,-66.152322, Calle Altamirano #281, Noreste, D10
-17.387671,-66.154346, Calle Gualberto Villarroel #282, Noroeste, D10
-17.394117,-66.164778, Calle Avaroa #283, Sudeste, D10
-17.403480,-66.165809, Calle Galindo #284, Noreste, D10
-17.393619,-66.154479, Calle 14 de Septiembre #285, Noroeste, D10
-17.401238,-66.156911, Calle Altamirano #286, Sudeste, D10
-17.390267,-66.161402, Calle Gualberto Villarroel #287, Noreste, D10
-17.386398,-66.158292, Calle Avaroa #288, Noroeste, D10
-17.385426,-66.158650, Calle Galindo #289, Sudeste, D10
-17.408199,-66.164900, Calle 14 de Septiembre #290, Noreste, D10
-17.407649,-66.161550, Calle Altamirano #291, Noroeste, D10
-17.396884,-66.164252, Calle Gualberto Villarroel #292, Sudeste, D10
-17.407964,-66.159839, Calle Avaroa #293, Noreste, D10
-17.407506,-66.163342, Calle Galindo #294, Noroeste, D10
-17.393511,-66.163221, Calle 14 de Septiembre #295, Sudeste, D10
-17.395821,-66.156609, Calle Altamirano #296, Noreste, D10
-17.409975,-66.155226, Calle Gualberto Villarroel #297, Noroeste, D10
-17.387520,-66.161897, Calle Avaroa #298, Sudeste, D10
-17.400981,-66.159736, Calle Galindo #299, Noreste, D10
-17.401947,-66.152752, Calle 14 de Septiembre #300, Noroeste, D10
-17.387164,-66.160921, Calle Altamirano #301, Sudeste, D10
-17.402682,-66.164532, Calle Gualberto Villarroel #302, Noreste, D10
-17.392457,-66.162665, Calle Avaroa #303, Noroeste, D10
-17.397211,-66.150266, Calle Galindo #304, Sudeste, D10
-17.392668,-66.150889, Calle 14 de Septiembre #305, Noreste, D10
-17.387676,-66.155912, Calle Altamirano #306, Noroeste, D10
-17.403272,-66.164394, Calle Gualberto Villarroel #307, Sudeste, D10
-17.404507,-66.157354, Calle Avaroa #308, Noreste, D10
-17.403488,-66.167208, Calle Galindo #309, Noroeste, D10
-17.387656,-66.159146, Calle 14 de Septiembre #310, Sudeste, D10
-17.393513,-66.157981, Calle Altamirano #311, Noreste, D10
-17.408949,-66.164884, Calle Gualberto Villarroel #312, Noroeste, D10
-17.406923,-66.161523, Calle Avaroa #313, Sudeste, D10
-17.391344,-66.152834, Calle Galindo #314, Noreste, D10
-17.398996,-66.152481, Calle 14 de Septiembre #315, Noroeste, D10
-17.398678,-66.152821, Calle Altamirano #316, Sudeste, D10
-17.401456,-66.163082, Calle Gualberto Villarroel #317, Noreste, D10
-17.394617,-66.163859, Calle Avaroa #318, Noroeste, D10
-17.399098,-66.161046, Calle Galindo #319, Sudeste, D10
-17.402740,-66.155973, Calle 14 de Septiembre #320, Noreste, D10
-17.407454,-66.161421, Calle Altamirano #321, Noroeste, D10
-17.401728,-66.160085, Calle Gualberto Villarroel #322, Sudeste, D10
-17.398252,-66.163504, Calle Avaroa #323, Noreste, D10
-17.403451,-66.156130, Calle Galindo #324, Noroeste, D10
-17.394484,-66.152809, Calle 14 de Septiembre #325, Sudeste, D10
-17.384602,-66.155139, Calle Altamirano #326, Noreste, D10
-17.383880,-66.158511, Calle Gualberto Villarroel #327, Noroeste, D10
-17.388834,-66.153204, Calle Avaroa #328, Sudeste, D10
-17.387207,-66.152318, Calle Galindo #329, Noreste, D10
-17.382812,-66.153747, Calle 14 de Septiembre #330, Noroeste, D10
-17.391536,-66.151722, Calle Altamirano #331, Sudeste, D10
-17.400604,-66.159545, Calle Gualberto Villarroel #332, Noreste, D10
-17.383205,-66.158482, Calle Avaroa #333, Noroeste, D10
-17.400998,-66.160959, Calle Galindo #334, Sudeste, D10
-17.388713,-66.162347, Calle 14 de Septiembre #335, Noreste, D10
-17.390593,-66.162978, Calle Altamirano #336, Noroeste, D10
