-17.378292,-66.142300, Calle Saturnino #100, Muyurina, D11
-17.393652,-66.147349, Calle Arce #101, Las Cuadras, D11
-17.385632,-66.149980, Calle Roma #102, Alalay, D11
-17.379691,-66.145705, Calle Ork’o #103, Muyurina, D11
-17.376286,-66.136268, Calle Cochabamba #104, Las Cuadras, D11
-17.377449,-66.137624, Calle Saturnino #105, Alalay, D11
-17.389013,-66.138668, Calle Arce #106, Muyurina, D11
-17.379449,-66.132722, Calle Roma #107, Las Cuadras, D11
-17.393289,-66.137553, Calle Ork’o #108, Alalay, D11
-17.392366,-66.141332, Calle Cochabamba #109, Muyurina, D11
-17.388178,-66.143751, Calle Saturnino #110, Las Cuadras, D11
-17.375354,-66.134579, Calle Arce #111, Alalay, D11
-17.395354,-66.147035, Calle Roma #112, Muyurina, D11
-17.395032,-66.131217, Calle Ork’o #113, Las Cuadras, D11
-17.389573,-66.132810, Calle Cochabamba #114, Alalay, D11
-17.390108,-66.146304, Calle Saturnino #115, Muyurina, D11
-17.388951,-66.136627, Calle Arce #116, Las Cuadras, D11
-17.395951,-66.138639, Calle Roma #117, Alalay, D11
-17.376952,-66.137504, Calle Ork’o #118, Muyurina, D11
-17.379539,-66.139829, Calle Cochabamba #119, Las Cuadras, D11
-17.381964,-66.140992, Calle Saturnino #120, Alalay, D11
-17.389168,-66.146636, Calle Arce #121, Muyurina, D11
-17.394304,-66.147957, Calle Roma #122, Las Cuadras, D11
-17.382230,-66.148157, Calle Ork’o #123, Alalay, D11
-17.389689,-66.146644, Calle Cochabamba #124, Muyurina, D11
-17.390960,-66.141526, Calle Saturnino #125, Las Cuadras, D11
-17.395832,-66.145331, Calle Arce #126, Alalay, D11
-17.377988,-66.136717, Calle Roma #127, Muyurina, D11
-17.390317,-66.148469, Calle Ork’o #128, Las Cuadras, D11
-17.397985,-66.142305, Calle Cochabamba #129, Alalay, D11
-17.393617,-66.135860, Calle Saturnino #130, Muyurina, D11
-17.391286,-66.146181, Calle Arce #131, Las Cuadras, D11
