-17.374065,-66.158862, Calle San Martín #100, Tupuraya, D12
-17.373662,-66.165507, Calle Bustillos #101, Queru Queru Bajo, D12
-17.375024,-66.157854, Calle Falsuri #102, Cala Cala Este, D12
-17.375786,-66.163221, Av. Blanco Galindo #103, Tupuraya, D12
-17.370645,-66.161259, Calle Canelas #104, Queru Queru Bajo, D12
-17.381052,-66.176064, Calle San Martín #105, Cala Cala Este, D12
-17.368233,-66.149435, Calle Bustillos #106, Tupuraya, D12
-17.382309,-66.165747, Calle Falsuri #107, Queru Queru Bajo, D12
-17.386394,-66.177368, Av. Blanco Galindo #108, Cala Cala Este, D12
-17.391240,-66.174212, Calle Canelas #109, Tupuraya, D12
-17.376119,-66.163308, Calle San Martín #110, Queru Queru Bajo, D12
-17.370125,-66.153859, Calle Bustillos #111, Cala Cala Este, D12
-17.379975,-66.171248, Calle Falsuri #112, Tupuraya, D12
-17.385252,-66.168347, Av. Blanco Galindo #113, Queru Queru Bajo, D12
-17.376465,-66.146157, Calle Canelas #114, Cala Cala Este, D12
-17.389728,-66.170828, Calle San Martín #115, Tupuraya, D12
-17.373311,-66.173719, Calle Bustillos #116, Queru Queru Bajo, D12
-17.377304,-66.158125, Calle Falsuri #117, Cala Cala Este, D12
-17.383403,-66.172808, Av. Blanco Galindo #118, Tupuraya, D12
-17.391867,-66.171032, Calle Canelas #119, Queru Queru Bajo, D12
-17.370947,-66.168769, Calle San Martín #120, Cala Cala Este, D12
-17.388945,-66.174890, Calle Bustillos #121, Tupuraya, D12
-17.369993,-66.162448, Calle Falsuri #122, Queru Queru Bajo, D12
-17.373186,-66.164842, Av. Blanco Galindo #123, Cala Cala Este, D12
-17.366760,-66.158641, Calle Canelas #124, Tupuraya, D12
-17.377287,-66.172029, Calle San Martín #125, Queru Queru Bajo, D12
-17.380858,-66.165413, Calle Bustillos #126, Cala Cala Este, D12
-17.367487,-66.155219, Calle Falsuri #127, Tupuraya, D12
-17.389356,-66.168872, Av. Blanco Galindo #128, Queru Queru Bajo, D12
-17.369870,-66.146131, Calle Canelas #129, Cala Cala Este, D12
-17.368216,-66.172734, Calle San Martín #130, Tupuraya, D12
-17.368011,-66.156900, Calle Bustillos #131, Queru Queru Bajo, D12
-17.378112,-66.163053, Calle Falsuri #132, Cala Cala Este, D12
-17.370623,-66.151724, Av. Blanco Galindo #133, Tupuraya, D12
-17.375203,-66.149152, Calle Canelas #134, Queru Queru Bajo, D12
-17.371491,-66.175600, Calle San Martín #135, Cala Cala Este, D12
-17.366782,-66.159655, Calle Bustillos #136, Tupuraya, D12
-17.369635,-66.147136, Calle Falsuri #137, Queru Queru Bajo, D12
-17.368900,-66.173871, Av. Blanco Galindo #138, Cala Cala Este, D12
-17.372104,-66.153683, Calle Canelas #139, Tupuraya, D12
-17.369533,-66.165670, Calle San Martín #140, Queru Queru Bajo, D12
-17.368431,-66.155586, Calle Bustillos #141, Cala Cala Este, D12
-17.382287,-66.174515, Calle Falsuri #142, Tupuraya, D12
-17.384758,-66.172873, Av. Blanco Galindo #143, Queru Queru Bajo, D12
-17.387976,-66.171091, Calle Canelas #144, Cala Cala Este, D12
-17.385917,-66.175187, Calle San Martín #145, Tupuraya, D12
-17.376308,-66.158550, Calle Bustillos #146, Queru Queru Bajo, D12
-17.375430,-66.154671, Calle Falsuri #147, Cala Cala Este, D12
-17.373748,-66.159164, Av. Blanco Galindo #148, Tupuraya, D12
-17.372076,-66.154167, Calle Canelas #149, Queru Queru Bajo, D12
-17.370309,-66.164699, Calle San Martín #150, Cala Cala Este, D12
-17.386753,-66.171707, Calle Bustillos #151, Tupuraya, D12
-17.371041,-66.142411, Calle Falsuri #152, Queru Queru Bajo, D12
-17.372495,-66.171048, Av. Blanco Galindo #153, Cala Cala Este, D12
-17.373151,-66.150939, Calle Canelas #154, Tupuraya, D12
-17.372405,-66.151795, Calle San Martín #155, Queru Queru Bajo, D12
-17.375277,-66.172940, Calle Bustillos #156, Cala Cala Este, D12
-17.389054,-66.172283, Calle Falsuri #157, Tupuraya, D12
-17.369421,-66.166737, Av. Blanco Galindo #158, Queru Queru Bajo, D12
-17.388831,-66.167699, Calle Canelas #159, Cala Cala Este, D12
-17.386709,-66.173909, Calle San Martín #160, Tupuraya, D12
-17.372316,-66.155468, Calle Bustillos #161, Queru Queru Bajo, D12
-17.371767,-66.174146, Calle Falsuri #162, Cala Cala Este, D12
-17.369578,-66.169126, Av. Blanco Galindo #163, Tupuraya, D12
-17.382906,-66.167771, Calle Canelas #164, Queru Queru Bajo, D12
-17.367659,-66.157943, Calle San Martín #165, Cala Cala Este, D12
-17.378172,-66.173918, Calle Bustillos #166, Tupuraya, D12
-17.368141,-66.167641, Calle Falsuri #167, Queru Queru Bajo, D12
-17.369498,-66.166561, Av. Blanco Galindo #168, Cala Cala Este, D12
-17.373660,-66.139553, Calle Canelas #169, Tupuraya, D12
-17.377163,-66.172068, Calle San Martín #170, Queru Queru Bajo, D12
-17.379543,-66.163420, Calle Bustillos #171, Cala Cala Este, D12
-17.376963,-66.162301, Calle Falsuri #172, Tupuraya, D12
-17.376791,-66.150759, Av. Blanco Galindo #173, Queru Queru Bajo, D12
-17.388823,-66.168279, Calle Canelas #174, Cala Cala Este, D12
-17.375278,-66.140977, Calle San Martín #175, Tupuraya, D12
-17.371641,-66.154504, Calle Bustillos #176, Queru Queru Bajo, D12
-17.379301,-66.162708, Calle Falsuri #177, Cala Cala Este, D12
-17.375377,-66.163551, Av. Blanco Galindo #178, Tupuraya, D12
-17.373700,-66.151877, Calle Canelas #179, Queru Queru Bajo, D12
-17.380174,-66.172916, Calle San Martín #180, Cala Cala Este, D12
-17.381134,-66.170610, Calle Bustillos #181, Tupuraya, D12
-17.369105,-66.153767, Calle Falsuri #182, Queru Queru Bajo, D12
-17.368134,-66.154319, Av. Blanco Galindo #183, Cala Cala Este, D12
-17.374677,-66.161225, Calle Canelas #184, Tupuraya, D12
-17.374352,-66.158222, Calle San Martín #185, Queru Queru Bajo, D12
-17.383703,-66.174830, Calle Bustillos #186, Cala Cala Este, D12
-17.372987,-66.143939, Calle Falsuri #187, Tupuraya, D12
-17.367835,-66.172244, Av. Blanco Galindo #188, Queru Queru Bajo, D12
-17.390457,-66.175136, Calle Canelas #189, Cala Cala Este, D12
-17.368273,-66.164901, Calle San Martín #190, Tupuraya, D12
-17.372920,-66.146293, Calle Bustillos #191, Queru Queru Bajo, D12
-17.375927,-66.175033, Calle Falsuri #192, Cala Cala Este, D12
-17.371246,-66.163330, Av. Blanco Galindo #193, Tupuraya, D12
-17.385822,-66.165952, Calle Canelas #194, Queru Queru Bajo, D12
-17.372624,-66.169613, Calle San Martín #195, Cala Cala Este, D12
-17.386173,-66.167605, Calle Bustillos #196, Tupuraya, D12
-17.375933,-66.147589, Calle Falsuri #197, Queru Queru Bajo, D12
-17.370154,-66.161600, Av. Blanco Galindo #198, Cala Cala Este, D12
-17.369837,-66.146689, Calle Canelas #199, Tupuraya, D12
-17.369667,-66.166068, Calle San Martín #200, Queru Queru Bajo, D12
-17.369894,-66.154575, Calle Bustillos #201, Cala Cala Este, D12
-17.373438,-66.156312, Calle Falsuri #202, Tupuraya, D12
-17.374707,-66.166655, Av. Blanco Galindo #203, Queru Queru Bajo, D12
-17.368335,-66.153061, Calle Canelas #204, Cala Cala Este, D12
-17.372255,-66.165942, Calle San Martín #205, Tupuraya, D12
-17.373674,-66.171573, Calle Bustillos #206, Queru Queru Bajo, D12
-17.388319,-66.177276, Calle Falsuri #207, Cala Cala Este, D12
-17.368881,-66.162241, Av. Blanco Galindo #208, Tupuraya, D12
-17.370982,-66.149710, Calle Canelas #209, Queru Queru Bajo, D12
-17.390843,-66.175940, Calle San Martín #210, Cala Cala Este, D12
-17.372324,-66.142755, Calle Bustillos #211, Tupuraya, D12
-17.367403,-66.155551, Calle Falsuri #212, Queru Queru Bajo, D12
-17.373032,-66.147189, Av. Blanco Galindo #213, Cala Cala Este, D12
-17.373686,-66.139826, Calle Canelas #214, Tupuraya, D12
-17.369382,-66.167829, Calle San Martín #215, Queru Queru Bajo, D12
-17.371514,-66.147575, Calle Bustillos #216, Cala Cala Este, D12
-17.391041,-66.174139, Calle Falsuri #217, Tupuraya, D12
-17.378985,-66.166320, Av. Blanco Galindo #218, Queru Queru Bajo, D12
-17.375584,-66.150436, Calle Canelas #219, Cala Cala Este, D12
-17.374212,-66.156717, Calle San Martín #220, Tupuraya, D12
-17.376589,-66.145032, Calle Bustillos #221, Queru Queru Bajo, D12
-17.372268,-66.151946, Calle Falsuri #222, Cala Cala Este, D12
-17.373988,-66.147362, Av. Blanco Galindo #223, Tupuraya, D12
-17.376814,-66.160191, Calle Canelas #224, Queru Queru Bajo, D12
-17.367637,-66.174132, Calle San Martín #225, Cala Cala Este, D12
-17.368485,-66.168482, Calle Bustillos #226, Tupuraya, D12
-17.365926,-66.166395, Calle Falsuri #227, Queru Queru Bajo, D12
-17.381908,-66.173365, Av. Blanco Galindo #228, Cala Cala Este, D12
-17.388565,-66.172353, Calle Canelas #229, Tupuraya, D12
-17.378341,-66.155972, Calle San Martín #230, Queru Queru Bajo, D12
