-17.339004,-66.151933, Calle Terminal #100, Cara Cara, D13
-17.329523,-66.175686, Calle Cementerio #101, La Temible, D13
-17.304907,-66.142273, Calle Industrial #102, K’ara K’ara II, D13
-17.323758,-66.126215, Calle Ferrocarril #103, Cara Cara, D13
-17.306966,-66.139794, Calle Tupiza #104, La Temible, D13
-17.325514,-66.122252, Calle Terminal #105, K’ara K’ara II, D13
-17.324184,-66.172963, Calle Cementerio #106, Cara Cara, D13
-17.323068,-66.153894, Calle Industrial #107, La Temible, D13
-17.327989,-66.161727, Calle Ferrocarril #108, K’ara K’ara II, D13
-17.363414,-66.115436, Calle Tupiza #109, Cara Cara, D13
-17.332974,-66.139684, Calle Terminal #110, La Temible, D13
-17.342900,-66.149988, Calle Cementerio #111, K’ara K’ara II, D13
-17.295959,-66.157005, Calle Industrial #112, Cara Cara, D13
-17.293648,-66.146255, Calle Ferrocarril #113, La Temible, D13
-17.303065,-66.126729, Calle Tupiza #114, K’ara K’ara II, D13
-17.302642,-66.140428, Calle Terminal #115, Cara Cara, D13
-17.312119,-66.144667, Calle Cementerio #116, La Temible, D13
-17.334429,-66.165913, Calle Industrial #117, K’ara K’ara II, D13
-17.340776,-66.122802, Calle Ferrocarril #118, Cara Cara, D13
-17.328693,-66.177771, Calle Tupiza #119, La Temible, D13
-17.297087,-66.135282, Calle Terminal #120, K’ara K’ara II, D13
-17.343136,-66.123646, Calle Cementerio #121, Cara Cara, D13
-17.319086,-66.125523, Calle Industrial #122, La Temible, D13
-17.323633,-66.133439, Calle Ferrocarril #123, K’ara K’ara II, D13
-17.340462,-66.156683, Calle Tupiza #124, Cara Cara, D13
-17.297465,-66.156784, Calle Terminal #125, La Temible, D13
-17.322504,-66.148061, Calle Cementerio #126, K’ara K’ara II, D13
-17.356275,-66.131044, Calle Industrial #127, Cara Cara, D13
-17.296157,-66.137580, Calle Ferrocarril #128, La Temible, D13
-17.294012,-66.134923, Calle Tupiza #129, K’ara K’ara II, D13
-17.303253,-66.154287, Calle Terminal #130, Cara Cara, D13
-17.332910,-66.122026, Calle Cementerio #131, La Temible, D13
-17.346542,-66.145728, Calle Industrial #132, K’ara K’ara II, D13
-17.361436,-66.114818, Calle Ferrocarril #133, Cara Cara, D13
-17.314423,-66.151384, Calle Tupiza #134, La Temible, D13
-17.356852,-66.110769, Calle Terminal #135, K’ara K’ara II, D13
-17.305415,-66.139153, Calle Cementerio #136, Cara Cara, D13
-17.328813,-66.174698, Calle Industrial #137, La Temible, D13
-17.310840,-66.149922, Calle Ferrocarril #138, K’ara K’ara II, D13
-17.314200,-66.139677, Calle Tupiza #139, Cara Cara, D13
-17.358086,-66.120736, Calle Terminal #140, La Temible, D13
-17.292919,-66.130636, Calle Cementerio #141, K’ara K’ara II, D13
-17.322322,-66.168307, Calle Industrial #142, Cara Cara, D13
-17.324154,-66.175329, Calle Ferrocarril #143, La Temible, D13
-17.295711,-66.132146, Calle Tupiza #144, K’ara K’ara II, D13
-17.291173,-66.130786, Calle Terminal #145, Cara Cara, D13
-17.338502,-66.151285, Calle Cementerio #146, La Temible, D13
-17.308611,-66.139595, Calle Industrial #147, K’ara K’ara II, D13
-17.291787,-66.145662, Calle Ferrocarril #148, Cara Cara, D13
-17.306087,-66.154897, Calle Tupiza #149, La Temible, D13
-17.312578,-66.163568, Calle Terminal #150, K’ara K’ara II, D13
-17.310384,-66.139637, Calle Cementerio #151, Cara Cara, D13
-17.317170,-66.155310, Calle Industrial #152, La Temible, D13
-17.308002,-66.144257, Calle Ferrocarril #153, K’ara K’ara II, D13
-17.312477,-66.134574, Calle Tupiza #154, Cara Cara, D13
-17.319604,-66.166892, Calle Terminal #155, La Temible, D13
-17.342228,-66.140438, Calle Cementerio #156, K’ara K’ara II, D13
-17.351066,-66.122450, Calle Industrial #157, Cara Cara, D13
-17.313669,-66.136426, Calle Ferrocarril #158, La Temible, D13
-17.317555,-66.163617, Calle Tupiza #159, K’ara K’ara II, D13
-17.325588,-66.146612, Calle Terminal #160, Cara Cara, D13
-17.325971,-66.125770, Calle Cementerio #161, La Temible, D13
-17.323294,-66.137716, Calle Industrial #162, K’ara K’ara II, D13
-17.344020,-66.141154, Calle Ferrocarril #163, Cara Cara, D13
-17.299552,-66.153637, Calle Tupiza #164, La Temible, D13
-17.314643,-66.160199, Calle Terminal #165, K’ara K’ara II, D13
-17.334866,-66.163545, Calle Cementerio #166, Cara Cara, D13
-17.346558,-66.118835, Calle Industrial #167, La Temible, D13
-17.324221,-66.155917, Calle Ferrocarril #168, K’ara K’ara II, D13
-17.333736,-66.173026, Calle Tupiza #169, Cara Cara, D13
-17.324004,-66.124662, Calle Terminal #170, La Temible, D13
-17.327773,-66.129796, Calle Cementerio #171, K’ara K’ara II, D13
-17.351427,-66.148788, Calle Industrial #172, Cara Cara, D13
-17.353223,-66.123647, Calle Ferrocarril #173, La Temible, D13
-17.342033,-66.134363, Calle Tupiza #174, K’ara K’ara II, D13
-17.307958,-66.145895, Calle Terminal #175, Cara Cara, D13
-17.303744,-66.134522, Calle Cementerio #176, La Temible, D13
-17.318689,-66.120640, Calle Industrial #177, K’ara K’ara II, D13
-17.350533,-66.129401, Calle Ferrocarril #178, Cara Cara, D13
-17.315928,-66.130406, Calle Tupiza #179, La Temible, D13
-17.348517,-66.142926, Calle Terminal #180, K’ara K’ara II, D13
-17.337687,-66.157722, Calle Cementerio #181, Cara Cara, D13
-17.320100,-66.149137, Calle Industrial #182, La Temible, D13
-17.291276,-66.130957, Calle Ferrocarril #183, K’ara K’ara II, D13
-17.353275,-66.123858, Calle Tupiza #184, Cara Cara, D13
-17.308984,-66.158114, Calle Terminal #185, La Temible, D13
-17.315828,-66.136534, Calle Cementerio #186, K’ara K’ara II, D13
-17.315971,-66.144370, Calle Industrial #187, Cara Cara, D13
-17.327581,-66.139115, Calle Ferrocarril #188, La Temible, D13
-17.303600,-66.141889, Calle Tupiza #189, K’ara K’ara II, D13
-17.294503,-66.145883, Calle Terminal #190, Cara Cara, D13
-17.293973,-66.146987, Calle Cementerio #191, La Temible, D13
-17.328546,-66.144892, Calle Industrial #192, K’ara K’ara II, D13
-17.337495,-66.153553, Calle Ferrocarril #193, Cara Cara, D13
-17.336860,-66.154966, Calle Tupiza #194, La Temible, D13
-17.333014,-66.129741, Calle Terminal #195, K’ara K’ara II, D13
-17.347587,-66.132699, Calle Cementerio #196, Cara Cara, D13
-17.332388,-66.184623, Calle Industrial #197, La Temible, D13
-17.330485,-66.178696, Calle Ferrocarril #198, K’ara K’ara II, D13
-17.331637,-66.121156, Calle Tupiza #199, Cara Cara, D13
-17.299298,-66.142225, Calle Terminal #200, La Temible, D13
-17.327550,-66.147990, Calle Cementerio #201, K’ara K’ara II, D13
-17.340876,-66.147065, Calle Industrial #202, Cara Cara, D13
-17.319114,-66.151380, Calle Ferrocarril #203, La Temible, D13
-17.303881,-66.147185, Calle Tupiza #204, K’ara K’ara II, D13
-17.343437,-66.153837, Calle Terminal #205, Cara Cara, D13
-17.304812,-66.151901, Calle Cementerio #206, La Temible, D13
-17.354880,-66.141270, Calle Industrial #207, K’ara K’ara II, D13
-17.349493,-66.156796, Calle Ferrocarril #208, Cara Cara, D13
-17.338519,-66.132606, Calle Tupiza #209, La Temible, D13
-17.335129,-66.172376, Calle Terminal #210, K’ara K’ara II, D13
-17.300255,-66.154794, Calle Cementerio #211, Cara Cara, D13
-17.330539,-66.138901, Calle Industrial #212, La Temible, D13
-17.358378,-66.109232, Calle Ferrocarril #213, K’ara K’ara II, D13
-17.304895,-66.129093, Calle Tupiza #214, Cara Cara, D13
-17.343121,-66.154876, Calle Terminal #215, La Temible, D13
-17.320934,-66.164822, Calle Cementerio #216, K’ara K’ara II, D13
-17.327373,-66.142183, Calle Industrial #217, Cara Cara, D13
-17.354632,-66.115656, Calle Ferrocarril #218, La Temible, D13
-17.347922,-66.124601, Calle Tupiza #219, K’ara K’ara II, D13
-17.296982,-66.136288, Calle Terminal #220, Cara Cara, D13
-17.340883,-66.150660, Calle Cementerio #221, La Temible, D13
-17.334890,-66.133092, Calle Industrial #222, K’ara K’ara II, D13
-17.299617,-66.158304, Calle Ferrocarril #223, Cara Cara, D13
-17.348711,-66.158207, Calle Tupiza #224, La Temible, D13
-17.328125,-66.168075, Calle Terminal #225, K’ara K’ara II, D13
-17.346371,-66.134758, Calle Cementerio #226, Cara Cara, D13
-17.360012,-66.115782, Calle Industrial #227, La Temible, D13
-17.312433,-66.126978, Calle Ferrocarril #228, K’ara K’ara II, D13
-17.327927,-66.153226, Calle Tupiza #229, Cara Cara, D13
-17.325405,-66.159643, Calle Terminal #230, La Temible, D13
-17.346606,-66.130777, Calle Cementerio #231, K’ara K’ara II, D13
-17.358432,-66.108258, Calle Industrial #232, Cara Cara, D13
-17.300469,-66.148292, Calle Ferrocarril #233, La Temible, D13
-17.301226,-66.130635, Calle Tupiza #234, K’ara K’ara II, D13
-17.359737,-66.116536, Calle Terminal #235, Cara Cara, D13
-17.297460,-66.128610, Calle Cementerio #236, La Temible, D13
-17.336579,-66.149710, Calle Industrial #237, K’ara K’ara II, D13
-17.317276,-66.127450, Calle Ferrocarril #238, Cara Cara, D13
-17.354023,-66.114269, Calle Tupiza #239, La Temible, D13
-17.318934,-66.133207, Calle Terminal #240, K’ara K’ara II, D13
-17.323208,-66.126331, Calle Cementerio #241, Cara Cara, D13
-17.325800,-66.163896, Calle Industrial #242, La Temible, D13
-17.296882,-66.132625, Calle Ferrocarril #243, K’ara K’ara II, D13
-17.360561,-66.128085, Calle Tupiza #244, Cara Cara, D13
-17.349784,-66.150076, Calle Terminal #245, La Temible, D13
-17.335648,-66.142087, Calle Cementerio #246, K’ara K’ara II, D13
-17.344237,-66.131601, Calle Industrial #247, Cara Cara, D13
-17.323330,-66.133881, Calle Ferrocarril #248, La Temible, D13
-17.359791,-66.124807, Calle Tupiza #249, K’ara K’ara II, D13
-17.299193,-66.148311, Calle Terminal #250, Cara Cara, D13
-17.344019,-66.140667, Calle Cementerio #251, La Temible, D13
-17.346401,-66.158756, Calle Industrial #252, K’ara K’ara II, D13
-17.293440,-66.141940, Calle Ferrocarril #253, Cara Cara, D13
-17.307663,-66.152741, Calle Tupiza #254, La Temible, D13
-17.291519,-66.128650, Calle Terminal #255, K’ara K’ara II, D13
-17.360297,-66.115874, Calle Cementerio #256, Cara Cara, D13
-17.333934,-66.177316, Calle Industrial #257, La Temible, D13
-17.299080,-66.134988, Calle Ferrocarril #258, K’ara K’ara II, D13
-17.322687,-66.147312, Calle Tupiza #259, Cara Cara, D13
-17.314247,-66.138071, Calle Terminal #260, La Temible, D13
-17.295027,-66.143581, Calle Cementerio #261, K’ara K’ara II, D13
-17.342580,-66.127689, Calle Industrial #262, Cara Cara, D13
-17.333044,-66.150358, Calle Ferrocarril #263, La Temible, D13
