-17.452167,-66.107179, Calle El Alto #100, Valle Hermoso Sur, D14
-17.435740,-66.114379, Calle Villa San Miguel #101, Pukara Sur, D14
-17.449392,-66.106998, Calle Ferroviaria #102, Ch’aqui Mayu, D14
-17.445940,-66.109969, Calle El Inca #103, Valle Hermoso Sur, D14
-17.450203,-66.115087, Calle Andes #104, Pukara Sur, D14
-17.455582,-66.116504, Calle El Alto #105, Ch’aqui Mayu, D14
-17.445041,-66.109307, Calle Villa San Miguel #106, Valle Hermoso Sur, D14
-17.451381,-66.111641, Calle Ferroviaria #107, Pukara Sur, D14
-17.441595,-66.118859, Calle El Inca #108, Ch’aqui Mayu, D14
-17.450790,-66.106331, Calle Andes #109, Valle Hermoso Sur, D14
-17.438885,-66.115721, Calle El Alto #110, Pukara Sur, D14
-17.450224,-66.107219, Calle Villa San Miguel #111, Ch’aqui Mayu, D14
-17.438010,-66.113632, Calle Ferroviaria #112, Valle Hermoso Sur, D14
-17.432859,-66.106102, Calle El Inca #113, Pukara Sur, D14
-17.448807,-66.109096, Calle Andes #114, Ch’aqui Mayu, D14
-17.435303,-66.106096, Calle El Alto #115, Valle Hermoso Sur, D14
-17.453518,-66.115020, Calle Villa San Miguel #116, Pukara Sur, D14
-17.442767,-66.114075, Calle Ferroviaria #117, Ch’aqui Mayu, D14
-17.436998,-66.118672, Calle El Inca #118, Valle Hermoso Sur, D14
-17.439722,-66.107415, Calle Andes #119, Pukara Sur, D14
-17.436237,-66.107531, Calle El Alto #120, Ch’aqui Mayu, D14
-17.432259,-66.103985, Calle Villa San Miguel #121, Valle Hermoso Sur, D14
-17.451931,-66.107982, Calle Ferroviaria #122, Pukara Sur, D14
-17.452155,-66.108353, Calle El Inca #123, Ch’aqui Mayu, D14
-17.449544,-66.112689, Calle Andes #124, Valle Hermoso Sur, D14
-17.434948,-66.108799, Calle El Alto #125, Pukara Sur, D14
-17.441250,-66.107859, Calle Villa San Miguel #126, Ch’aqui Mayu, D14
-17.458888,-66.113940, Calle Ferroviaria #127, Valle Hermoso Sur, D14
-17.447178,-66.108898, Calle El Inca #128, Pukara Sur, D14
-17.445737,-66.109639, Calle Andes #129, Ch’aqui Mayu, D14
-17.443004,-66.105823, Calle El Alto #130, Valle Hermoso Sur, D14
-17.428243,-66.109479, Calle Villa San Miguel #131, Pukara Sur, D14
-17.432503,-66.109626, Calle Ferroviaria #132, Ch’aqui Mayu, D14
-17.444900,-66.106011, Calle El Inca #133, Valle Hermoso Sur, D14
-17.426566,-66.109179, Calle Andes #134, Pukara Sur, D14
-17.441324,-66.114850, Calle El Alto #135, Ch’aqui Mayu, D14
-17.426174,-66.110106, Calle Villa San Miguel #136, Valle Hermoso Sur, D14
-17.427490,-66.113722, Calle Ferroviaria #137, Pukara Sur, D14
-17.451662,-66.114335, Calle El Inca #138, Ch’aqui Mayu, D14
-17.438595,-66.109367, Calle Andes #139, Valle Hermoso Sur, D14
