-17.487577,-66.112642, Calle Urcupiña #100, Pukara Oeste, D15
-17.453138,-66.145551, Calle Achumani #101, Khara Khara, D15
-17.498605,-66.134126, Calle Castrillo #102, Valle Hermoso Oeste, D15
-17.488682,-66.124269, Calle Landaeta #103, Pukara Oeste, D15
-17.487969,-66.141962, Calle Villazón #104, Khara Khara, D15
-17.463564,-66.147719, Calle Urcupiña #105, Valle Hermoso Oeste, D15
-17.466583,-66.123478, Calle Achumani #106, Pukara Oeste, D15
-17.488108,-66.128019, Calle Castrillo #107, Khara Khara, D15
-17.491585,-66.146860, Calle Landaeta #108, Valle Hermoso Oeste, D15
-17.502124,-66.149982, Calle Villazón #109, Pukara Oeste, D15
-17.476274,-66.122446, Calle Urcupiña #110, Khara Khara, D15
-17.483302,-66.146152, Calle Achumani #111, Valle Hermoso Oeste, D15
-17.493393,-66.148340, Calle Castrillo #112, Pukara Oeste, D15
-17.473125,-66.132115, Calle Landaeta #113, Khara Khara, D15
-17.472835,-66.122327, Calle Villazón #114, Valle Hermoso Oeste, D15
-17.471907,-66.122782, Calle Urcupiña #115, Pukara Oeste, D15
-17.479412,-66.139257, Calle Achumani #116, Khara Khara, D15
-17.464528,-66.139389, Calle Castrillo #117, Valle Hermoso Oeste, D15
-17.472616,-66.140876, Calle Landaeta #118, Pukara Oeste, D15
-17.485399,-66.145355, Calle Villazón #119, Khara Khara, D15
-17.465627,-66.143341, Calle Urcupiña #120, Valle Hermoso Oeste, D15
-17.501034,-66.145296, Calle Achumani #121, Pukara Oeste, D15
-17.490492,-66.140818, Calle Castrillo #122, Khara Khara, D15
-17.460966,-66.151400, Calle Landaeta #123, Valle Hermoso Oeste, D15
-17.456090,-66.137311, Calle Villazón #124, Pukara Oeste, D15
-17.451974,-66.146099, Calle Urcupiña #125, Khara Khara, D15
-17.500622,-66.150875, Calle Achumani #126, Valle Hermoso Oeste, D15
-17.465933,-66.147757, Calle Castrillo #127, Pukara Oeste, D15
-17.475875,-66.137882, Calle Landaeta #128, Khara Khara, D15
-17.503935,-66.149132, Calle Villazón #129, Valle Hermoso Oeste, D15
-17.479091,-66.118414, Calle Urcupiña #130, Pukara Oeste, D15
-17.450860,-66.140670, Calle Achumani #131, Khara Khara, D15
-17.461056,-66.130779, Calle Castrillo #132, Valle Hermoso Oeste, D15
-17.463495,-66.142039, Calle Landaeta #133, Pukara Oeste, D15
-17.464159,-66.134481, Calle Villazón #134, Khara Khara, D15
-17.487289,-66.124003, Calle Urcupiña #135, Valle Hermoso Oeste, D15
-17.491166,-66.136273, Calle Achumani #136, Pukara Oeste, D15
-17.485274,-66.109352, Calle Castrillo #137, Khara Khara, D15
-17.448786,-66.140710, Calle Landaeta #138, Valle Hermoso Oeste, D15
-17.495812,-66.135309, Calle Villazón #139, Pukara Oeste, D15
-17.460206,-66.151558, Calle Urcupiña #140, Khara Khara, D15
-17.472143,-66.147523, Calle Achumani #141, Valle Hermoso Oeste, D15
-17.473757,-66.152404, Calle Castrillo #142, Pukara Oeste, D15
-17.473841,-66.123548, Calle Landaeta #143, Khara Khara, D15
-17.481872,-66.144904, Calle Villazón #144, Valle Hermoso Oeste, D15
-17.479011,-66.125875, Calle Urcupiña #145, Pukara Oeste, D15
-17.497983,-66.146616, Calle Achumani #146, Khara Khara, D15
-17.476351,-66.143258, Calle Castrillo #147, Valle Hermoso Oeste, D15
-17.500841,-66.144008, Calle Landaeta #148, Pukara Oeste, D15
-17.483874,-66.113452, Calle Villazón #149, Khara Khara, D15
-17.490752,-66.122876, Calle Urcupiña #150, Valle Hermoso Oeste, D15
-17.474795,-66.123635, Calle Achumani #151, Pukara Oeste, D15
-17.485593,-66.111458, Calle Castrillo #152, Khara Khara, D15
-17.467450,-66.118906, Calle Landaeta #153, Valle Hermoso Oeste, D15
-17.454534,-66.146464, Calle Villazón #154, Pukara Oeste, D15
-17.484360,-66.134178, Calle Urcupiña #155, Khara Khara, D15
-17.496393,-66.139753, Calle Achumani #156, Valle Hermoso Oeste, D15
-17.455280,-66.137469, Calle Castrillo #157, Pukara Oeste, D15
-17.471587,-66.124508, Calle Landaeta #158, Khara Khara, D15
-17.457364,-66.154308, Calle Villazón #159, Valle Hermoso Oeste, D15
-17.471031,-66.137761, Calle Urcupiña #160, Pukara Oeste, D15
-17.457915,-66.144900, Calle Achumani #161, Khara Khara, D15
-17.496001,-66.129028, Calle Castrillo #162, Valle Hermoso Oeste, D15
-17.469986,-66.146646, Calle Landaeta #163, Pukara Oeste, D15
-17.477540,-66.114765, Calle Villazón #164, Khara Khara, D15
-17.480630,-66.133625, Calle Urcupiña #165, Valle Hermoso Oeste, D15
-17.494882,-66.141776, Calle Achumani #166, Pukara Oeste, D15
-17.471972,-66.138983, Calle Castrillo #167, Khara Khara, D15
-17.452213,-66.143229, Calle Landaeta #168, Valle Hermoso Oeste, D15
-17.488876,-66.147920, Calle Villazón #169, Pukara Oeste, D15
-17.489423,-66.139938, Calle Urcupiña #170, Khara Khara, D15
-17.451524,-66.143407, Calle Achumani #171, Valle Hermoso Oeste, D15
-17.481824,-66.138712, Calle Castrillo #172, Pukara Oeste, D15
-17.475562,-66.146331, Calle Landaeta #173, Khara Khara, D15
-17.465921,-66.153294, Calle Villazón #174, Valle Hermoso Oeste, D15
-17.500391,-66.139505, Calle Urcupiña #175, Pukara Oeste, D15
-17.490258,-66.125209, Calle Achumani #176, Khara Khara, D15
-17.464940,-66.127755, Calle Castrillo #177, Valle Hermoso Oeste, D15
-17.479276,-66.151881, Calle Landaeta #178, Pukara Oeste, D15
-17.467009,-66.119743, Calle Villazón #179, Khara Khara, D15
-17.458584,-66.148589, Calle Urcupiña #180, Valle Hermoso Oeste, D15
-17.465566,-66.152818, Calle Achumani #181, Pukara Oeste, D15
-17.488283,-66.136944, Calle Castrillo #182, Khara Khara, D15
-17.473995,-66.132362, Calle Landaeta #183, Valle Hermoso Oeste, D15
-17.485810,-66.135613, Calle Villazón #184, Pukara Oeste, D15
-17.472173,-66.149474, Calle Urcupiña #185, Khara Khara, D15
-17.479848,-66.127046, Calle Achumani #186, Valle Hermoso Oeste, D15
-17.481943,-66.139031, Calle Castrillo #187, Pukara Oeste, D15
-17.472442,-66.149730, Calle Landaeta #188, Khara Khara, D15
-17.476827,-66.123180, Calle Villazón #189, Valle Hermoso Oeste, D15
-17.493170,-66.133316, Calle Urcupiña #190, Pukara Oeste, D15
-17.465965,-66.139196, Calle Achumani #191, Khara Khara, D15
-17.499746,-66.149296, Calle Castrillo #192, Valle Hermoso Oeste, D15
-17.466092,-66.145032, Calle Landaeta #193, Pukara Oeste, D15
-17.488803,-66.144566, Calle Villazón #194, Khara Khara, D15
-17.479750,-66.151442, Calle Urcupiña #195, Valle Hermoso Oeste, D15
-17.488901,-66.139552, Calle Achumani #196, Pukara Oeste, D15
-17.471765,-66.117555, Calle Castrillo #197, Khara Khara, D15
-17.463590,-66.140396, Calle Landaeta #198, Valle Hermoso Oeste, D15
-17.497861,-66.130323, Calle Villazón #199, Pukara Oeste, D15
-17.489001,-66.149005, Calle Urcupiña #200, Khara Khara, D15
-17.455393,-66.131963, Calle Achumani #201, Valle Hermoso Oeste, D15
-17.503466,-66.143234, Calle Castrillo #202, Pukara Oeste, D15
-17.492875,-66.124749, Calle Landaeta #203, Khara Khara, D15
-17.463376,-66.144419, Calle Villazón #204, Valle Hermoso Oeste, D15
-17.450458,-66.143295, Calle Urcupiña #205, Pukara Oeste, D15
-17.491215,-66.129234, Calle Achumani #206, Khara Khara, D15
-17.462725,-66.149303, Calle Castrillo #207, Valle Hermoso Oeste, D15
-17.477089,-66.140320, Calle Landaeta #208, Pukara Oeste, D15
-17.477214,-66.135610, Calle Villazón #209, Khara Khara, D15
-17.486571,-66.114007, Calle Urcupiña #210, Valle Hermoso Oeste, D15
-17.456988,-66.135052, Calle Achumani #211, Pukara Oeste, D15
-17.475619,-66.124275, Calle Castrillo #212, Khara Khara, D15
-17.462394,-66.147518, Calle Landaeta #213, Valle Hermoso Oeste, D15
-17.473919,-66.133199, Calle Villazón #214, Pukara Oeste, D15
-17.455709,-66.148512, Calle Urcupiña #215, Khara Khara, D15
-17.475660,-66.131511, Calle Achumani #216, Valle Hermoso Oeste, D15
-17.446911,-66.141024, Calle Castrillo #217, Pukara Oeste, D15
-17.453094,-66.142327, Calle Landaeta #218, Khara Khara, D15
-17.483210,-66.130530, Calle Villazón #219, Valle Hermoso Oeste, D15
-17.468890,-66.124205, Calle Urcupiña #220, Pukara Oeste, D15
-17.498140,-66.146809, Calle Achumani #221, Khara Khara, D15
-17.451290,-66.141250, Calle Castrillo #222, Valle Hermoso Oeste, D15
-17.458917,-66.154215, Calle Landaeta #223, Pukara Oeste, D15
-17.481297,-66.130190, Calle Villazón #224, Khara Khara, D15
-17.464010,-66.124148, Calle Urcupiña #225, Valle Hermoso Oeste, D15
-17.490163,-66.123408, Calle Achumani #226, Pukara Oeste, D15
-17.466528,-66.142613, Calle Castrillo #227, Khara Khara, D15
-17.466548,-66.147943, Calle Landaeta #228, Valle Hermoso Oeste, D15
-17.462210,-66.125181, Calle Villazón #229, Pukara Oeste, D15
-17.493250,-66.131032, Calle Urcupiña #230, Khara Khara, D15
-17.477696,-66.138339, Calle Achumani #231, Valle Hermoso Oeste, D15
-17.456163,-66.149310, Calle Castrillo #232, Pukara Oeste, D15
-17.501610,-66.150065, Calle Landaeta #233, Khara Khara, D15
-17.478751,-66.134854, Calle Villazón #234, Valle Hermoso Oeste, D15
-17.492943,-66.133032, Calle Urcupiña #235, Pukara Oeste, D15
-17.459804,-66.150667, Calle Achumani #236, Khara Khara, D15
-17.458321,-66.148397, Calle Castrillo #237, Valle Hermoso Oeste, D15
-17.474054,-66.123528, Calle Landaeta #238, Pukara Oeste, D15
-17.487020,-66.125641, Calle Villazón #239, Khara Khara, D15
-17.479626,-66.120456, Calle Urcupiña #240, Valle Hermoso Oeste, D15
-17.468911,-66.119516, Calle Achumani #241, Pukara Oeste, D15
-17.484684,-66.147022, Calle Castrillo #242, Khara Khara, D15
-17.481384,-66.114077, Calle Landaeta #243, Valle Hermoso Oeste, D15
-17.492306,-66.124032, Calle Villazón #244, Pukara Oeste, D15
-17.479680,-66.145152, Calle Urcupiña #245, Khara Khara, D15
-17.463315,-66.137279, Calle Achumani #246, Valle Hermoso Oeste, D15
-17.493264,-66.125431, Calle Castrillo #247, Pukara Oeste, D15
-17.467834,-66.144583, Calle Landaeta #248, Khara Khara, D15
-17.495614,-66.143178, Calle Villazón #249, Valle Hermoso Oeste, D15
-17.454624,-66.140750, Calle Urcupiña #250, Pukara Oeste, D15
-17.487423,-66.114173, Calle Achumani #251, Khara Khara, D15
-17.477130,-66.131660, Calle Castrillo #252, Valle Hermoso Oeste, D15
-17.458537,-66.152300, Calle Landaeta #253, Pukara Oeste, D15
-17.484184,-66.131251, Calle Villazón #254, Khara Khara, D15
-17.457253,-66.153793, Calle Urcupiña #255, Valle Hermoso Oeste, D15
-17.477951,-66.133643, Calle Achumani #256, Pukara Oeste, D15
-17.471176,-66.129202, Calle Castrillo #257, Khara Khara, D15
-17.476519,-66.133837, Calle Landaeta #258, Valle Hermoso Oeste, D15
