-17.360417,-66.151182, Calle Alemania #100, Cala Cala, D2
-17.342203,-66.185221, Calle Ecuador #101, Temporal Pampa, D2
-17.344142,-66.177925, Av. Circunvalación #102, Mayorazgo, D2
-17.351590,-66.178289, Calle Mendoza #103, Cala Cala, D2
-17.340631,-66.191655, Calle Litoral #104, Temporal Pampa, D2
-17.348452,-66.196486, Calle Alemania #105, Mayorazgo, D2
-17.362798,-66.173149, Calle Ecuador #106, Cala Cala, D2
-17.342926,-66.189625, Av. Circunvalación #107, Temporal Pampa, D2
-17.363162,-66.150488, Calle Mendoza #108, Mayorazgo, D2
-17.337936,-66.191376, Calle Litoral #109, Cala Cala, D2
-17.352820,-66.163169, Calle Alemania #110, Temporal Pampa, D2
-17.338013,-66.187171, Calle Ecuador #111, Mayorazgo, D2
-17.357840,-66.161386, Av. Circunvalación #112, Cala Cala, D2
-17.359537,-66.178756, Calle Mendoza #113, Temporal Pampa, D2
-17.342406,-66.178105, Calle Litoral #114, Mayorazgo, D2
-17.352027,-66.171046, Calle Alemania #115, Cala Cala, D2
-17.345596,-66.191991, Calle Ecuador #116, Temporal Pampa, D2
-17.360597,-66.152037, Av. Circunvalación #117, Mayorazgo, D2
-17.351120,-66.164159, Calle Mendoza #118, Cala Cala, D2
-17.345697,-66.192814, Calle Litoral #119, Temporal Pampa, D2
-17.346473,-66.194384, Calle Alemania #120, Mayorazgo, D2
-17.341815,-66.185899, Calle Ecuador #121, Cala Cala, D2
-17.351850,-66.172571, Av. Circunvalación #122, Temporal Pampa, D2
-17.349671,-66.182076, Calle Mendoza #123, Mayorazgo, D2
-17.346874,-66.185439, Calle Litoral #124, Cala Cala, D2
-17.344683,-66.174784, Calle Alemania #125, Temporal Pampa, D2
-17.356932,-66.174788, Calle Ecuador #126, Mayorazgo, D2
-17.338652,-66.192291, Av. Circunvalación #127, Cala Cala, D2
-17.338316,-66.190593, Calle Mendoza #128, Temporal Pampa, D2
-17.364272,-66.162495, Calle Litoral #129, Mayorazgo, D2
-17.355612,-66.159158, Calle Alemania #130, Cala Cala, D2
-17.349399,-66.186727, Calle Ecuador #131, Temporal Pampa, D2
-17.353070,-66.167564, Av. Circunvalación #132, Mayorazgo, D2
-17.361632,-66.179569, Calle Mendoza #133, Cala Cala, D2
-17.365618,-66.169476, Calle Litoral #134, Temporal Pampa, D2
-17.359405,-66.155594, Calle Alemania #135, Mayorazgo, D2
-17.360675,-66.158085, Calle Ecuador #136, Cala Cala, D2
-17.363936,-66.158077, Av. Circunvalación #137, Temporal Pampa, D2
-17.354662,-66.167244, Calle Mendoza #138, Mayorazgo, D2
-17.355208,-66.184875, Calle Litoral #139, Cala Cala, D2
-17.339838,-66.188711, Calle Alemania #140, Temporal Pampa, D2
-17.349449,-66.192518, Calle Ecuador #141, Mayorazgo, D2
-17.356099,-66.160978, Av. Circunvalación #142, Cala Cala, D2
-17.352821,-66.173406, Calle Mendoza #143, Temporal Pampa, D2
-17.351705,-66.168225, Calle Litoral #144, Mayorazgo, D2
-17.342136,-66.184729, Calle Alemania #145, Cala Cala, D2
-17.351996,-66.172126, Calle Ecuador #146, Temporal Pampa, D2
-17.349517,-66.185600, Av. Circunvalación #147, Mayorazgo, D2
-17.349031,-66.187811, Calle Mendoza #148, Cala Cala, D2
-17.353951,-66.163950, Calle Litoral #149, Temporal Pampa, D2
-17.358616,-66.152640, Calle Alemania #150, Mayorazgo, D2
-17.362506,-66.180067, Calle Ecuador #151, Cala Cala, D2
-17.366277,-66.150762, Av. Circunvalación #152, Temporal Pampa, D2
-17.340317,-66.195045, Calle Mendoza #153, Mayorazgo, D2
-17.354679,-66.158360, Calle Litoral #154, Cala Cala, D2
-17.361445,-66.163129, Calle Alemania #155, Temporal Pampa, D2
-17.360822,-66.167649, Calle Ecuador #156, Mayorazgo, D2
-17.341899,-66.178317, Av. Circunvalación #157, Cala Cala, D2
-17.360430,-66.169934, Calle Mendoza #158, Temporal Pampa, D2
-17.359673,-66.166010, Calle Litoral #159, Mayorazgo, D2
-17.361122,-66.156447, Calle Alemania #160, Cala Cala, D2
-17.359200,-66.153203, Calle Ecuador #161, Temporal Pampa, D2
-17.347222,-66.180285, Av. Circunvalación #162, Mayorazgo, D2
-17.337040,-66.192605, Calle Mendoza #163, Cala Cala, D2
-17.346727,-66.197335, Calle Litoral #164, Temporal Pampa, D2
-17.341292,-66.189068, Calle Alemania #165, Mayorazgo, D2
-17.362844,-66.161760, Calle Ecuador #166, Cala Cala, D2
-17.347721,-66.185060, Av. Circunvalación #167, Temporal Pampa, D2
-17.358530,-66.154231, Calle Mendoza #168, Mayorazgo, D2
-17.346049,-66.185800, Calle Litoral #169, Cala Cala, D2
-17.365372,-66.154727, Calle Alemania #170, Temporal Pampa, D2
-17.359622,-66.174774, Calle Ecuador #171, Mayorazgo, D2
-17.351402,-66.176942, Av. Circunvalación #172, Cala Cala, D2
-17.344103,-66.192766, Calle Mendoza #173, Temporal Pampa, D2
-17.359663,-66.165879, Calle Litoral #174, Mayorazgo, D2
-17.351224,-66.171298, Calle Alemania #175, Cala Cala, D2
-17.365350,-66.168036, Calle Ecuador #176, Temporal Pampa, D2
-17.362613,-66.151831, Av. Circunvalación #177, Mayorazgo, D2
-17.363596,-66.169385, Calle Mendoza #178, Cala Cala, D2
-17.358918,-66.177996, Calle Litoral #179, Temporal Pampa, D2
-17.355710,-66.163263, Calle Alemania #180, Mayorazgo, D2
-17.350027,-66.184836, Calle Ecuador #181, Cala Cala, D2
-17.355520,-66.157177, Av. Circunvalación #182, Temporal Pampa, D2
-17.351967,-66.168283, Calle Mendoza #183, Mayorazgo, D2
-17.353571,-66.175854, Calle Litoral #184, Cala Cala, D2
-17.362006,-66.170834, Calle Alemania #185, Temporal Pampa, D2
-17.348344,-66.189393, Calle Ecuador #186, Mayorazgo, D2
-17.364012,-66.176078, Av. Circunvalación #187, Cala Cala, D2
-17.341659,-66.195536, Calle Mendoza #188, Temporal Pampa, D2
-17.358145,-66.175564, Calle Litoral #189, Mayorazgo, D2
-17.362453,-66.166078, Calle Alemania #190, Cala Cala, D2
-17.360943,-66.166343, Calle Ecuador #191, Temporal Pampa, D2
-17.359264,-66.163741, Av. Circunvalación #192, Mayorazgo, D2
-17.338862,-66.183315, Calle Mendoza #193, Cala Cala, D2
-17.348750,-66.168757, Calle Litoral #194, Temporal Pampa, D2
-17.364916,-66.168805, Calle Alemania #195, Mayorazgo, D2
-17.358788,-66.176696, Calle Ecuador #196, Cala Cala, D2
-17.336849,-66.192031, Av. Circunvalación #197, Temporal Pampa, D2
-17.344543,-66.173296, Calle Mendoza #198, Mayorazgo, D2
-17.361723,-66.168219, Calle Litoral #199, Cala Cala, D2
-17.364034,-66.175293, Calle Alemania #200, Temporal Pampa, D2
-17.363541,-66.167672, Calle Ecuador #201, Mayorazgo, D2
-17.340135,-66.182712, Av. Circunvalación #202, Cala Cala, D2
