-17.372714,-66.182021, Calle Tarija #100, Sarco, D3
-17.377042,-66.198365, Calle Colón #101, Sarcobamba, D3
-17.357473,-66.186931, Av. América #102, Villa Busch, D3
-17.362792,-66.192700, Calle Monseñor Rivero #103, Sarco, D3
-17.375605,-66.179496, Calle Adela Zamudio #104, Sarcobamba, D3
-17.369064,-66.191448, Calle Tarija #105, Villa Busch, D3
-17.364773,-66.185269, Calle Colón #106, Sarco, D3
-17.374881,-66.198684, Av. América #107, Sarcobamba, D3
-17.384171,-66.191753, Calle Monseñor Rivero #108, Villa Busch, D3
-17.362252,-66.197551, Calle Adela Zamudio #109, Sarco, D3
-17.367479,-66.185549, Calle Tarija #110, Sarcobamba, D3
-17.388394,-66.182773, Calle Colón #111, Villa Busch, D3
-17.367916,-66.201594, Av. América #112, Sarco, D3
-17.374564,-66.199340, Calle Monseñor Rivero #113, Sarcobamba, D3
-17.356339,-66.198964, Calle Adela Zamudio #114, Villa Busch, D3
-17.373254,-66.199689, Calle Tarija #115, Sarco, D3
-17.376123,-66.200852, Calle Colón #116, Sarcobamba, D3
-17.374823,-66.203999, Av. América #117, Villa Busch, D3
-17.381764,-66.183033, Calle Monseñor Rivero #118, Sarco, D3
-17.374062,-66.205460, Calle Adela Zamudio #119, Sarcobamba, D3
-17.364739,-66.191307, Calle Tarija #120, Villa Busch, D3
-17.373655,-66.202697, Calle Colón #121, Sarco, D3
-17.374042,-66.204082, Av. América #122, Sarcobamba, D3
-17.369633,-66.195346, Calle Monseñor Rivero #123, Villa Busch, D3
-17.352796,-66.193355, Calle Adela Zamudio #124, Sarco, D3
-17.370982,-66.202417, Calle Tarija #125, Sarcobamba, D3
-17.366148,-66.200232, Calle Colón #126, Villa Busch, D3
-17.352795,-66.191844, Av. América #127, Sarco, D3
-17.371414,-66.192561, Calle Monseñor Rivero #128, Sarcobamba, D3
-17.371774,-66.178977, Calle Adela Zamudio #129, Villa Busch, D3
-17.348661,-66.199831, Calle Tarija #130, Sarco, D3
-17.373455,-66.191203, Calle Colón #131, Sarcobamba, D3
-17.368815,-66.186195, Av. América #132, Villa Busch, D3
-17.359161,-66.194496, Calle Monseñor Rivero #133, Sarco, D3
-17.365622,-66.178831, Calle Adela Zamudio #134, Sarcobamba, D3
-17.369766,-66.177031, Calle Tarija #135, Villa Busch, D3
-17.383501,-66.182197, Calle Colón #136, Sarco, D3
-17.371316,-66.181309, Av. América #137, Sarcobamba, D3
-17.365498,-66.188997, Calle Monseñor Rivero #138, Villa Busch, D3
-17.369858,-66.187251, Calle Adela Zamudio #139, Sarco, D3
