-17.407483,-66.175647, Av. Blanco Galindo #100, Hipódromo, D4
-17.394340,-66.178618, Calle Tupuraya #101, La Chimba, D4
-17.396175,-66.197839, Calle Melchor Pérez #102, Coña Coña, D4
-17.395291,-66.179085, Calle Jordán #103, Hipódromo, D4
-17.397919,-66.173151, Calle Portales #104, La Chimba, D4
-17.398116,-66.186877, Av. Blanco Galindo #105, Coña Coña, D4
-17.406855,-66.198562, Calle Tupuraya #106, Hipódromo, D4
-17.396963,-66.183972, Calle Melchor Pérez #107, La Chimba, D4
-17.402225,-66.187280, Calle Jordán #108, Coña Coña, D4
-17.403057,-66.198567, Calle Portales #109, Hipódromo, D4
-17.400046,-66.201457, Av. Blanco Galindo #110, La Chimba, D4
-17.402572,-66.187243, Calle Tupuraya #111, Coña Coña, D4
-17.401143,-66.189263, Calle Melchor Pérez #112, Hipódromo, D4
-17.396158,-66.181973, Calle Jordán #113, La Chimba, D4
-17.397851,-66.184481, Calle Portales #114, Coña Coña, D4
-17.404923,-66.182361, Av. Blanco Galindo #115, Hipódromo, D4
-17.397130,-66.206481, Calle Tupuraya #116, La Chimba, D4
-17.395559,-66.171289, Calle Melchor Pérez #117, Coña Coña, D4
-17.406459,-66.180454, Calle Jordán #118, Hipódromo, D4
-17.387402,-66.200364, Calle Portales #119, La Chimba, D4
-17.405112,-66.182189, Av. Blanco Galindo #120, Coña Coña, D4
-17.395955,-66.176923, Calle Tupuraya #121, Hipódromo, D4
-17.390661,-66.200597, Calle Melchor Pérez #122, La Chimba, D4
-17.394686,-66.182035, Calle Jordán #123, Coña Coña, D4
-17.382958,-66.207922, Calle Portales #124, Hipódromo, D4
-17.397147,-66.178761, Av. Blanco Galindo #125, La Chimba, D4
-17.403878,-66.177665, Calle Tupuraya #126, Coña Coña, D4
-17.395839,-66.178484, Calle Melchor Pérez #127, Hipódromo, D4
-17.410019,-66.183462, Calle Jordán #128, La Chimba, D4
-17.401909,-66.188732, Calle Portales #129, Coña Coña, D4
-17.395854,-66.191009, Av. Blanco Galindo #130, Hipódromo, D4
-17.396402,-66.200874, Calle Tupuraya #131, La Chimba, D4
-17.402739,-66.177069, Calle Melchor Pérez #132, Coña Coña, D4
-17.406885,-66.175838, Calle Jordán #133, Hipódromo, D4
-17.392986,-66.190033, Calle Portales #134, La Chimba, D4
-17.397635,-66.175976, Av. Blanco Galindo #135, Coña Coña, D4
-17.407668,-66.178894, Calle Tupuraya #136, Hipódromo, D4
-17.395449,-66.207534, Calle Melchor Pérez #137, La Chimba, D4
-17.393744,-66.178251, Calle Jordán #138, Coña Coña, D4
-17.406370,-66.185755, Calle Portales #139, Hipódromo, D4
-17.395153,-66.194383, Av. Blanco Galindo #140, La Chimba, D4
-17.398573,-66.203417, Calle Tupuraya #141, Coña Coña, D4
-17.406916,-66.173284, Calle Melchor Pérez #142, Hipódromo, D4
-17.405594,-66.176573, Calle Jordán #143, La Chimba, D4
-17.397911,-66.201056, Calle Portales #144, Coña Coña, D4
-17.399547,-66.174994, Av. Blanco Galindo #145, Hipódromo, D4
-17.397345,-66.209809, Calle Tupuraya #146, La Chimba, D4
-17.392385,-66.202570, Calle Melchor Pérez #147, Coña Coña, D4
-17.395470,-66.187720, Calle Jordán #148, Hipódromo, D4
-17.384980,-66.202117, Calle Portales #149, La Chimba, D4
-17.395974,-66.180315, Av. Blanco Galindo #150, Coña Coña, D4
-17.398658,-66.215649, Calle Tupuraya #151, Hipódromo, D4
-17.390799,-66.200460, Calle Melchor Pérez #152, La Chimba, D4
-17.396228,-66.206408, Calle Jordán #153, Coña Coña, D4
-17.386229,-66.198488, Calle Portales #154, Hipódromo, D4
-17.396637,-66.206732, Av. Blanco Galindo #155, La Chimba, D4
-17.397191,-66.204659, Calle Tupuraya #156, Coña Coña, D4
-17.397478,-66.199320, Calle Melchor Pérez #157, Hipódromo, D4
-17.383324,-66.201525, Calle Jordán #158, La Chimba, D4
-17.401169,-66.183946, Calle Portales #159, Coña Coña, D4
-17.401978,-66.189107, Av. Blanco Galindo #160, Hipódromo, D4
-17.398656,-66.179180, Calle Tupuraya #161, La Chimba, D4
-17.396277,-66.184761, Calle Melchor Pérez #162, Coña Coña, D4
-17.396116,-66.209344, Calle Jordán #163, Hipódromo, D4
-17.396256,-66.210006, Calle Portales #164, La Chimba, D4
-17.393541,-66.190491, Av. Blanco Galindo #165, Coña Coña, D4
-17.396728,-66.188666, Calle Tupuraya #166, Hipódromo, D4
-17.390097,-66.199272, Calle Melchor Pérez #167, La Chimba, D4
-17.396774,-66.209228, Calle Jordán #168, Coña Coña, D4
-17.402705,-66.186566, Calle Portales #169, Hipódromo, D4
-17.390692,-66.200213, Av. Blanco Galindo #170, La Chimba, D4
-17.402176,-66.177990, Calle Tupuraya #171, Coña Coña, D4
-17.408827,-66.178169, Calle Melchor Pérez #172, Hipódromo, D4
-17.394254,-66.174019, Calle Jordán #173, La Chimba, D4
-17.402215,-66.187159, Calle Portales #174, Coña Coña, D4
-17.394731,-66.203772, Av. Blanco Galindo #175, Hipódromo, D4
-17.390287,-66.203300, Calle Tupuraya #176, La Chimba, D4
-17.384033,-66.204612, Calle Melchor Pérez #177, Coña Coña, D4
-17.395893,-66.195584, Calle Jordán #178, Hipódromo, D4
-17.398375,-66.214056, Calle Portales #179, La Chimba, D4
-17.399031,-66.171789, Av. Blanco Galindo #180, Coña Coña, D4
-17.396909,-66.192617, Calle Tupuraya #181, Hipódromo, D4
-17.386361,-66.204071, Calle Melchor Pérez #182, La Chimba, D4
-17.397707,-66.174724, Calle Jordán #183, Coña Coña, D4
-17.384845,-66.205891, Calle Portales #184, Hipódromo, D4
-17.403586,-66.186455, Av. Blanco Galindo #185, La Chimba, D4
-17.394863,-66.199317, Calle Tupuraya #186, Coña Coña, D4
-17.394745,-66.168101, Calle Melchor Pérez #187, Hipódromo, D4
-17.397961,-66.194019, Calle Jordán #188, La Chimba, D4
-17.396995,-66.186847, Calle Portales #189, Coña Coña, D4
-17.393761,-66.195302, Av. Blanco Galindo #190, Hipódromo, D4
-17.386665,-66.203286, Calle Tupuraya #191, La Chimba, D4
-17.406413,-66.182722, Calle Melchor Pérez #192, Coña Coña, D4
-17.396843,-66.168337, Calle Jordán #193, Hipódromo, D4
-17.406418,-66.174085, Calle Portales #194, La Chimba, D4
-17.399275,-66.210042, Av. Blanco Galindo #195, Coña Coña, D4
-17.387358,-66.205327, Calle Tupuraya #196, Hipódromo, D4
-17.391952,-66.204336, Calle Melchor Pérez #197, La Chimba, D4
-17.394997,-66.199415, Calle Jordán #198, Coña Coña, D4
-17.405324,-66.188241, Calle Portales #199, Hipódromo, D4
-17.392908,-66.202362, Av. Blanco Galindo #200, La Chimba, D4
-17.400797,-66.178396, Calle Tupuraya #201, Coña Coña, D4
-17.397739,-66.192989, Calle Melchor Pérez #202, Hipódromo, D4
-17.395890,-66.183691, Calle Jordán #203, La Chimba, D4
-17.398062,-66.180188, Calle Portales #204, Coña Coña, D4
-17.403098,-66.184459, Av. Blanco Galindo #205, Hipódromo, D4
