-17.428250,-66.160547, Calle Libertad #100, Jaihuayco, D5
-17.417581,-66.160484, Calle Villarroel #101, Alalay Norte, D5
-17.408804,-66.171975, Calle Antezana #102, Lacma, D5
-17.412623,-66.174803, Calle Ballivián #103, Jaihuayco, D5
-17.412782,-66.185508, Av. Petrolera #104, Alalay Norte, D5
-17.413285,-66.168666, Calle Libertad #105, Lacma, D5
-17.426558,-66.157120, Calle Villarroel #106, Jaihuayco, D5
-17.423702,-66.173324, Calle Antezana #107, Alalay Norte, D5
-17.430049,-66.167358, Calle Ballivián #108, Lacma, D5
-17.417748,-66.163686, Av. Petrolera #109, Jaihuayco, D5
-17.430720,-66.169389, Calle Libertad #110, Alalay Norte, D5
-17.439270,-66.151904, Calle Villarroel #111, Lacma, D5
-17.431224,-66.168400, Calle Antezana #112, Jaihuayco, D5
-17.434865,-66.156651, Calle Ballivián #113, Alalay Norte, D5
-17.407692,-66.190033, Av. Petrolera #114, Lacma, D5
-17.430312,-66.158816, Calle Libertad #115, Jaihuayco, D5
-17.441317,-66.151817, Calle Villarroel #116, Alalay Norte, D5
-17.414412,-66.187230, Calle Antezana #117, Lacma, D5
-17.428677,-66.165258, Calle Ballivián #118, Jaihuayco, D5
-17.439736,-66.145875, Av. Petrolera #119, Alalay Norte, D5
-17.438716,-66.162359, Calle Libertad #120, Lacma, D5
-17.413078,-66.184798, Calle Villarroel #121, Jaihuayco, D5
-17.428962,-66.153076, Calle Antezana #122, Alalay Norte, D5
-17.416769,-66.166653, Calle Ballivián #123, Lacma, D5
-17.423014,-66.169038, Av. Petrolera #124, Jaihuayco, D5
-17.417126,-66.171855, Calle Libertad #125, Alalay Norte, D5
-17.440562,-66.157781, Calle Villarroel #126, Lacma, D5
-17.420604,-66.164823, Calle Antezana #127, Jaihuayco, D5
-17.428502,-66.165913, Calle Ballivián #128, Alalay Norte, D5
-17.426712,-66.180829, Av. Petrolera #129, Lacma, D5
-17.441224,-66.154079, Calle Libertad #130, Jaihuayco, D5
-17.435634,-66.166743, Calle Villarroel #131, Alalay Norte, D5
-17.424239,-66.179353, Calle Antezana #132, Lacma, D5
-17.415485,-66.160094, Calle Ballivián #133, Jaihuayco, D5
-17.427136,-66.155065, Av. Petrolera #134, Alalay Norte, D5
-17.422052,-66.179309, Calle Libertad #135, Lacma, D5
-17.430485,-66.166945, Calle Villarroel #136, Jaihuayco, D5
-17.427357,-66.174623, Calle Antezana #137, Alalay Norte, D5
-17.423644,-66.161509, Calle Ballivián #138, Lacma, D5
-17.413424,-66.159452, Av. Petrolera #139, Jaihuayco, D5
-17.438123,-66.160792, Calle Libertad #140, Alalay Norte, D5
-17.427616,-66.165088, Calle Villarroel #141, Lacma, D5
-17.433585,-66.169006, Calle Antezana #142, Jaihuayco, D5
-17.433110,-66.162060, Calle Ballivián #143, Alalay Norte, D5
-17.438121,-66.151726, Av. Petrolera #144, Lacma, D5
-17.430120,-66.153550, Calle Libertad #145, Jaihuayco, D5
-17.427017,-66.159379, Calle Villarroel #146, Alalay Norte, D5
-17.438519,-66.155795, Calle Antezana #147, Lacma, D5
-17.422014,-66.178082, Calle Ballivián #148, Jaihuayco, D5
-17.424716,-66.169042, Av. Petrolera #149, Alalay Norte, D5
-17.417424,-66.182006, Calle Libertad #150, Lacma, D5
-17.430199,-66.153464, Calle Villarroel #151, Jaihuayco, D5
-17.410709,-66.170212, Calle Antezana #152, Alalay Norte, D5
-17.416116,-66.178888, Calle Ballivián #153, Lacma, D5
-17.430634,-66.169647, Av. Petrolera #154, Jaihuayco, D5
-17.411007,-66.166035, Calle Libertad #155, Alalay Norte, D5
-17.436727,-66.152689, Calle Villarroel #156, Lacma, D5
-17.422536,-66.155520, Calle Antezana #157, Jaihuayco, D5
-17.417221,-66.171096, Calle Ballivián #158, Alalay Norte, D5
-17.440889,-66.148169, Av. Petrolera #159, Lacma, D5
-17.420753,-66.163074, Calle Libertad #160, Jaihuayco, D5
-17.426148,-66.154717, Calle Villarroel #161, Alalay Norte, D5
-17.415540,-66.160695, Calle Antezana #162, Lacma, D5
-17.434511,-66.160610, Calle Ballivián #163, Jaihuayco, D5
-17.432595,-66.159355, Av. Petrolera #164, Alalay Norte, D5
-17.410683,-66.188848, Calle Libertad #165, Lacma, D5
-17.427089,-66.168751, Calle Villarroel #166, Jaihuayco, D5
-17.421498,-66.163379, Calle Antezana #167, Alalay Norte, D5
