-17.424504,-66.148321, Calle Kantuta #100, Alalay Sud, D6
-17.402041,-66.149531, Calle Siringuero #101, Kantuta, D6
-17.405342,-66.138103, Calle Tupac Katari #102, Villa Hermosa, D6
-17.419354,-66.139813, Av. Melchor Urquidi #103, Alalay Sud, D6
-17.407507,-66.137629, Calle Dalence #104, Kantuta, D6
-17.410763,-66.144372, Calle Kantuta #105, Villa Hermosa, D6
-17.420813,-66.151769, Calle Siringuero #106, Alalay Sud, D6
-17.422389,-66.131383, Calle Tupac Katari #107, Kantuta, D6
-17.423754,-66.147146, Av. Melchor Urquidi #108, Villa Hermosa, D6
-17.412573,-66.133900, Calle Dalence #109, Alalay Sud, D6
-17.413300,-66.133047, Calle Kantuta #110, Kantuta, D6
-17.401375,-66.148288, Calle Siringuero #111, Villa Hermosa, D6
-17.411685,-66.148840, Calle Tupac Katari #112, Alalay Sud, D6
-17.401838,-66.133591, Av. Melchor Urquidi #113, Kantuta, D6
-17.425838,-66.153051, Calle Dalence #114, Villa Hermosa, D6
-17.415694,-66.154806, Calle Kantuta #115, Alalay Sud, D6
-17.406603,-66.128045, Calle Siringuero #116, Kantuta, D6
-17.419882,-66.147716, Calle Tupac Katari #117, Villa Hermosa, D6
-17.412752,-66.132853, Av. Melchor Urquidi #118, Alalay Sud, D6
-17.419107,-66.152118, Calle Dalence #119, Kantuta, D6
-17.399553,-66.133939, Calle Kantuta #120, Villa Hermosa, D6
-17.408438,-66.139907, Calle Siringuero #121, Alalay Sud, D6
-17.406805,-66.146023, Calle Tupac Katari #122, Kantuta, D6
-17.408023,-66.141339, Av. Melchor Urquidi #123, Villa Hermosa, D6
-17.426764,-66.148384, Calle Dalence #124, Alalay Sud, D6
-17.399126,-66.130394, Calle Kantuta #125, Kantuta, D6
-17.400399,-66.138469, Calle Siringuero #126, Villa Hermosa, D6
-17.411714,-66.147246, Calle Tupac Katari #127, Alalay Sud, D6
-17.412662,-66.153496, Av. Melchor Urquidi #128, Kantuta, D6
-17.407527,-66.146444, Calle Dalence #129, Villa Hermosa, D6
-17.406149,-66.146091, Calle Kantuta #130, Alalay Sud, D6
-17.397941,-66.126284, Calle Siringuero #131, Kantuta, D6
-17.402987,-66.145500, Calle Tupac Katari #132, Villa Hermosa, D6
-17.411354,-66.136219, Av. Melchor Urquidi #133, Alalay Sud, D6
-17.428615,-66.150865, Calle Dalence #134, Kantuta, D6
-17.403015,-66.131974, Calle Kantuta #135, Villa Hermosa, D6
-17.415089,-66.151514, Calle Siringuero #136, Alalay Sud, D6
-17.407919,-66.132008, Calle Tupac Katari #137, Kantuta, D6
-17.421729,-66.138980, Av. Melchor Urquidi #138, Villa Hermosa, D6
-17.417795,-66.135283, Calle Dalence #139, Alalay Sud, D6
-17.404635,-66.131150, Calle Kantuta #140, Kantuta, D6
-17.412741,-66.144506, Calle Siringuero #141, Villa Hermosa, D6
-17.412873,-66.133923, Calle Tupac Katari #142, Alalay Sud, D6
-17.404066,-66.134421, Av. Melchor Urquidi #143, Kantuta, D6
-17.416076,-66.149316, Calle Dalence #144, Villa Hermosa, D6
-17.416639,-66.135893, Calle Kantuta #145, Alalay Sud, D6
-17.405379,-66.131438, Calle Siringuero #146, Kantuta, D6
-17.405969,-66.143326, Calle Tupac Katari #147, Villa Hermosa, D6
-17.406103,-66.136690, Av. Melchor Urquidi #148, Alalay Sud, D6
-17.425258,-66.147704, Calle Dalence #149, Kantuta, D6
-17.416464,-66.132731, Calle Kantuta #150, Villa Hermosa, D6
-17.417481,-66.137713, Calle Siringuero #151, Alalay Sud, D6
-17.416399,-66.131571, Calle Tupac Katari #152, Kantuta, D6
-17.401970,-66.140197, Av. Melchor Urquidi #153, Villa Hermosa, D6
-17.417476,-66.130784, Calle Dalence #154, Alalay Sud, D6
-17.425809,-66.152428, Calle Kantuta #155, Kantuta, D6
-17.405616,-66.126697, Calle Siringuero #156, Villa Hermosa, D6
-17.410280,-66.148760, Calle Tupac Katari #157, Alalay Sud, D6
-17.408564,-66.139989, Av. Melchor Urquidi #158, Kantuta, D6
-17.416894,-66.142847, Calle Dalence #159, Villa Hermosa, D6
-17.424501,-66.151367, Calle Kantuta #160, Alalay Sud, D6
-17.411280,-66.149794, Calle Siringuero #161, Kantuta, D6
-17.402784,-66.130602, Calle Tupac Katari #162, Villa Hermosa, D6
-17.408046,-66.139382, Av. Melchor Urquidi #163, Alalay Sud, D6
-17.414717,-66.135601, Calle Dalence #164, Kantuta, D6
-17.412982,-66.128080, Calle Kantuta #165, Villa Hermosa, D6
-17.410030,-66.139002, Calle Siringuero #166, Alalay Sud, D6
-17.400579,-66.127222, Calle Tupac Katari #167, Kantuta, D6
-17.412149,-66.134541, Av. Melchor Urquidi #168, Villa Hermosa, D6
-17.420273,-66.152455, Calle Dalence #169, Alalay Sud, D6
-17.416683,-66.128422, Calle Kantuta #170, Kantuta, D6
-17.421211,-66.153136, Calle Siringuero #171, Villa Hermosa, D6
-17.413842,-66.154989, Calle Tupac Katari #172, Alalay Sud, D6
-17.418291,-66.146746, Av. Melchor Urquidi #173, Kantuta, D6
-17.403109,-66.132115, Calle Dalence #174, Villa Hermosa, D6
-17.425160,-66.145757, Calle Kantuta #175, Alalay Sud, D6
-17.410430,-66.143701, Calle Siringuero #176, Kantuta, D6
-17.404245,-66.125873, Calle Tupac Katari #177, Villa Hermosa, D6
-17.406972,-66.133228, Av. Melchor Urquidi #178, Alalay Sud, D6
-17.401750,-66.140660, Calle Dalence #179, Kantuta, D6
-17.422832,-66.136919, Calle Kantuta #180, Villa Hermosa, D6
-17.409236,-66.147274, Calle Siringuero #181, Alalay Sud, D6
-17.412938,-66.143627, Calle Tupac Katari #182, Kantuta, D6
-17.407331,-66.133710, Av. Melchor Urquidi #183, Villa Hermosa, D6
-17.405296,-66.145177, Calle Dalence #184, Alalay Sud, D6
-17.409438,-66.140846, Calle Kantuta #185, Kantuta, D6
-17.411435,-66.136574, Calle Siringuero #186, Villa Hermosa, D6
-17.411999,-66.142699, Calle Tupac Katari #187, Alalay Sud, D6
-17.413333,-66.134663, Av. Melchor Urquidi #188, Kantuta, D6
-17.407065,-66.127448, Calle Dalence #189, Villa Hermosa, D6
-17.408919,-66.142115, Calle Kantuta #190, Alalay Sud, D6
-17.418011,-66.141481, Calle Siringuero #191, Kantuta, D6
-17.401810,-66.130499, Calle Tupac Katari #192, Villa Hermosa, D6
-17.412266,-66.132498, Av. Melchor Urquidi #193, Alalay Sud, D6
-17.422421,-66.136561, Calle Dalence #194, Kantuta, D6
-17.422201,-66.150089, Calle Kantuta #195, Villa Hermosa, D6
-17.404370,-66.129482, Calle Siringuero #196, Alalay Sud, D6
-17.401658,-66.129372, Calle Tupac Katari #197, Kantuta, D6
-17.399420,-66.139559, Av. Melchor Urquidi #198, Villa Hermosa, D6
-17.407557,-66.140348, Calle Dalence #199, Alalay Sud, D6
-17.414992,-66.138402, Calle Kantuta #200, Kantuta, D6
-17.406485,-66.144325, Calle Siringuero #201, Villa Hermosa, D6
-17.404291,-66.129347, Calle Tupac Katari #202, Alalay Sud, D6
-17.397495,-66.135339, Av. Melchor Urquidi #203, Kantuta, D6
-17.402243,-66.123902, Calle Dalence #204, Villa Hermosa, D6
-17.418610,-66.136902, Calle Kantuta #205, Alalay Sud, D6
-17.414490,-66.148115, Calle Siringuero #206, Kantuta, D6
-17.410656,-66.136435, Calle Tupac Katari #207, Villa Hermosa, D6
-17.404481,-66.141309, Av. Melchor Urquidi #208, Alalay Sud, D6
-17.422582,-66.149430, Calle Dalence #209, Kantuta, D6
-17.403683,-66.129753, Calle Kantuta #210, Villa Hermosa, D6
-17.402601,-66.123836, Calle Siringuero #211, Alalay Sud, D6
-17.415527,-66.130383, Calle Tupac Katari #212, Kantuta, D6
-17.401636,-66.136701, Av. Melchor Urquidi #213, Villa Hermosa, D6
-17.417002,-66.139433, Calle Dalence #214, Alalay Sud, D6
-17.402358,-66.125561, Calle Kantuta #215, Kantuta, D6
-17.413621,-66.150956, Calle Siringuero #216, Villa Hermosa, D6
-17.411507,-66.127474, Calle Tupac Katari #217, Alalay Sud, D6
-17.418788,-66.134953, Av. Melchor Urquidi #218, Kantuta, D6
