-17.429017,-66.121984, Av. Siglo XX #100, Arrumani, D7
-17.421449,-66.126568, Calle Villa Busch #101, Sivingani, D7
-17.420737,-66.122158, Calle Ecológica #102, K’ara K’ara, D7
-17.434363,-66.121319, Calle Enrique Finot #103, Arrumani, D7
-17.422846,-66.123190, Calle Pucará #104, Sivingani, D7
-17.408586,-66.122119, Av. Siglo XX #105, K’ara K’ara, D7
-17.427608,-66.123376, Calle Villa Busch #106, Arrumani, D7
-17.408994,-66.122273, Calle Ecológica #107, Sivingani, D7
-17.420741,-66.128968, Calle Enrique Finot #108, K’ara K’ara, D7
-17.421532,-66.122282, Calle Pucará #109, Arrumani, D7
-17.437394,-66.123512, Av. Siglo XX #110, Sivingani, D7
-17.425785,-66.121588, Calle Villa Busch #111, K’ara K’ara, D7
-17.423074,-66.121137, Calle Ecológica #112, Arrumani, D7
-17.422261,-66.129055, Calle Enrique Finot #113, Sivingani, D7
-17.413716,-66.122431, Calle Pucará #114, K’ara K’ara, D7
-17.424369,-66.118397, Av. Siglo XX #115, Arrumani, D7
-17.413754,-66.119198, Calle Villa Busch #116, Sivingani, D7
-17.430662,-66.118959, Calle Ecológica #117, K’ara K’ara, D7
-17.431208,-66.120509, Calle Enrique Finot #118, Arrumani, D7
-17.428850,-66.127538, Calle Pucará #119, Sivingani, D7
-17.423163,-66.114935, Av. Siglo XX #120, K’ara K’ara, D7
-17.421141,-66.113441, Calle Villa Busch #121, Arrumani, D7
-17.422968,-66.128836, Calle Ecológica #122, Sivingani, D7
-17.413825,-66.123845, Calle Enrique Finot #123, K’ara K’ara, D7
-17.422343,-66.125143, Calle Pucará #124, Arrumani, D7
-17.429340,-66.128141, Av. Siglo XX #125, Sivingani, D7
-17.424574,-66.129366, Calle Villa Busch #126, K’ara K’ara, D7
-17.426837,-66.125977, Calle Ecológica #127, Arrumani, D7
-17.435262,-66.120214, Calle Enrique Finot #128, Sivingani, D7
-17.422986,-66.122547, Calle Pucará #129, K’ara K’ara, D7
-17.416570,-66.115553, Av. Siglo XX #130, Arrumani, D7
-17.417618,-66.117741, Calle Villa Busch #131, Sivingani, D7
-17.414085,-66.119987, Calle Ecológica #132, K’ara K’ara, D7
-17.418475,-66.123402, Calle Enrique Finot #133, Arrumani, D7
-17.420860,-66.122384, Calle Pucará #134, Sivingani, D7
-17.414982,-66.122878, Av. Siglo XX #135, K’ara K’ara, D7
-17.419559,-66.122285, Calle Villa Busch #136, Arrumani, D7
-17.429981,-66.126458, Calle Ecológica #137, Sivingani, D7
-17.431533,-66.126952, Calle Enrique Finot #138, K’ara K’ara, D7
-17.421989,-66.124315, Calle Pucará #139, Arrumani, D7
-17.436220,-66.124489, Av. Siglo XX #140, Sivingani, D7
-17.420543,-66.122008, Calle Villa Busch #141, K’ara K’ara, D7
-17.416913,-66.115561, Calle Ecológica #142, Arrumani, D7
-17.437101,-66.120956, Calle Enrique Finot #143, Sivingani, D7
-17.408381,-66.121758, Calle Pucará #144, K’ara K’ara, D7
-17.420897,-66.120039, Av. Siglo XX #145, Arrumani, D7
-17.415527,-66.119684, Calle Villa Busch #146, Sivingani, D7
-17.419555,-66.118534, Calle Ecológica #147, K’ara K’ara, D7
-17.425964,-66.123638, Calle Enrique Finot #148, Arrumani, D7
-17.432035,-66.122880, Calle Pucará #149, Sivingani, D7
-17.420307,-66.113481, Av. Siglo XX #150, K’ara K’ara, D7
-17.432785,-66.119540, Calle Villa Busch #151, Arrumani, D7
-17.437606,-66.121586, Calle Ecológica #152, Sivingani, D7
-17.424683,-66.127265, Calle Enrique Finot #153, K’ara K’ara, D7
-17.430207,-66.119130, Calle Pucará #154, Arrumani, D7
-17.420942,-66.127170, Av. Siglo XX #155, Sivingani, D7
-17.414311,-66.119227, Calle Villa Busch #156, K’ara K’ara, D7
-17.425170,-66.121746, Calle Ecológica #157, Arrumani, D7
-17.423385,-66.122155, Calle Enrique Finot #158, Sivingani, D7
-17.411248,-66.121911, Calle Pucará #159, K’ara K’ara, D7
-17.408645,-66.122802, Av. Siglo XX #160, Arrumani, D7
-17.431294,-66.125248, Calle Villa Busch #161, Sivingani, D7
-17.425411,-66.125653, Calle Ecológica #162, K’ara K’ara, D7
-17.422028,-66.116632, Calle Enrique Finot #163, Arrumani, D7
-17.422080,-66.114214, Calle Pucará #164, Sivingani, D7
-17.424649,-66.131317, Av. Siglo XX #165, K’ara K’ara, D7
-17.422687,-66.118249, Calle Villa Busch #166, Arrumani, D7
-17.421868,-66.114464, Calle Ecológica #167, Sivingani, D7
-17.426416,-66.130446, Calle Enrique Finot #168, K’ara K’ara, D7
-17.431183,-66.117643, Calle Pucará #169, Arrumani, D7
-17.424633,-66.128206, Av. Siglo XX #170, Sivingani, D7
-17.423873,-66.129132, Calle Villa Busch #171, K’ara K’ara, D7
-17.426043,-66.128916, Calle Ecológica #172, Arrumani, D7
-17.416529,-66.123962, Calle Enrique Finot #173, Sivingani, D7
-17.409786,-66.124227, Calle Pucará #174, K’ara K’ara, D7
-17.418258,-66.124050, Av. Siglo XX #175, Arrumani, D7
-17.416026,-66.123703, Calle Villa Busch #176, Sivingani, D7
-17.412813,-66.124082, Calle Ecológica #177, K’ara K’ara, D7
-17.418598,-66.114752, Calle Enrique Finot #178, Arrumani, D7
-17.424417,-66.123150, Calle Pucará #179, Sivingani, D7
-17.436111,-66.123206, Av. Siglo XX #180, K’ara K’ara, D7
-17.419269,-66.122571, Calle Villa Busch #181, Arrumani, D7
-17.425510,-66.121957, Calle Ecológica #182, Sivingani, D7
-17.434949,-66.124612, Calle Enrique Finot #183, K’ara K’ara, D7
