-17.433056,-66.138849, Calle Roma #100, Ticti Norte, D8
-17.475234,-66.102162, Calle Hamburgo #101, Valle Hermoso, D8
-17.472037,-66.102432, Calle Ticti #102, Ushpa Ushpa, D8
-17.473634,-66.093007, Calle Sierra Nevada #103, Ticti Norte, D8
-17.475067,-66.102841, Calle Colorado #104, Valle Hermoso, D8
-17.434900,-66.139910, Calle Roma #105, Ushpa Ushpa, D8
-17.437697,-66.132318, Calle Hamburgo #106, Ticti Norte, D8
-17.428721,-66.145262, Calle Ticti #107, Valle Hermoso, D8
-17.477297,-66.109473, Calle Sierra Nevada #108, Ushpa Ushpa, D8
-17.466463,-66.087571, Calle Colorado #109, Ticti Norte, D8
-17.450614,-66.096833, Calle Roma #110, Valle Hermoso, D8
-17.435988,-66.136573, Calle Hamburgo #111, Ushpa Ushpa, D8
-17.465524,-66.109593, Calle Ticti #112, Ticti Norte, D8
-17.463305,-66.088955, Calle Sierra Nevada #113, Valle Hermoso, D8
-17.427865,-66.137241, Calle Colorado #114, Ushpa Ushpa, D8
-17.444826,-66.126687, Calle Roma #115, Ticti Norte, D8
-17.437299,-66.136813, Calle Hamburgo #116, Valle Hermoso, D8
-17.476653,-66.107722, Calle Ticti #117, Ushpa Ushpa, D8
-17.436585,-66.133948, Calle Sierra Nevada #118, Ticti Norte, D8
-17.459950,-66.110756, Calle Colorado #119, Valle Hermoso, D8
-17.463466,-66.085460, Calle Roma #120, Ushpa Ushpa, D8
-17.463791,-66.087558, Calle Hamburgo #121, Ticti Norte, D8
-17.468906,-66.093925, Calle Ticti #122, Valle Hermoso, D8
-17.452796,-66.096761, Calle Sierra Nevada #123, Ushpa Ushpa, D8
-17.465758,-66.086753, Calle Colorado #124, Ticti Norte, D8
-17.430417,-66.144936, Calle Roma #125, Valle Hermoso, D8
-17.432480,-66.143219, Calle Hamburgo #126, Ushpa Ushpa, D8
-17.471297,-66.110146, Calle Ticti #127, Ticti Norte, D8
-17.455286,-66.123972, Calle Sierra Nevada #128, Valle Hermoso, D8
-17.458597,-66.099238, Calle Colorado #129, Ushpa Ushpa, D8
-17.458941,-66.108935, Calle Roma #130, Ticti Norte, D8
-17.442012,-66.137149, Calle Hamburgo #131, Valle Hermoso, D8
-17.456721,-66.103088, Calle Ticti #132, Ushpa Ushpa, D8
-17.426061,-66.141159, Calle Sierra Nevada #133, Ticti Norte, D8
-17.438275,-66.134348, Calle Colorado #134, Valle Hermoso, D8
-17.474147,-66.094290, Calle Roma #135, Ushpa Ushpa, D8
-17.434722,-66.129468, Calle Hamburgo #136, Ticti Norte, D8
-17.440330,-66.127019, Calle Ticti #137, Valle Hermoso, D8
-17.435406,-66.139640, Calle Sierra Nevada #138, Ushpa Ushpa, D8
-17.426496,-66.139554, Calle Colorado #139, Ticti Norte, D8
-17.434701,-66.135586, Calle Roma #140, Valle Hermoso, D8
-17.453778,-66.098492, Calle Hamburgo #141, Ushpa Ushpa, D8
-17.470241,-66.106074, Calle Ticti #142, Ticti Norte, D8
-17.468676,-66.100696, Calle Sierra Nevada #143, Valle Hermoso, D8
-17.443597,-66.122860, Calle Colorado #144, Ushpa Ushpa, D8
-17.447009,-66.128694, Calle Roma #145, Ticti Norte, D8
-17.441950,-66.137149, Calle Hamburgo #146, Valle Hermoso, D8
-17.452056,-66.126908, Calle Ticti #147, Ushpa Ushpa, D8
-17.469949,-66.085172, Calle Sierra Nevada #148, Ticti Norte, D8
-17.434459,-66.138069, Calle Colorado #149, Valle Hermoso, D8
-17.440609,-66.132863, Calle Roma #150, Ushpa Ushpa, D8
-17.456151,-66.092207, Calle Hamburgo #151, Ticti Norte, D8
-17.470834,-66.105888, Calle Ticti #152, Valle Hermoso, D8
-17.472832,-66.090047, Calle Sierra Nevada #153, Ushpa Ushpa, D8
-17.468594,-66.085210, Calle Colorado #154, Ticti Norte, D8
-17.473304,-66.102150, Calle Roma #155, Valle Hermoso, D8
-17.457820,-66.118202, Calle Hamburgo #156, Ushpa Ushpa, D8
-17.429615,-66.137497, Calle Ticti #157, Ticti Norte, D8
-17.441987,-66.139208, Calle Sierra Nevada #158, Valle Hermoso, D8
-17.455645,-66.118927, Calle Colorado #159, Ushpa Ushpa, D8
-17.469669,-66.109296, Calle Roma #160, Ticti Norte, D8
-17.464401,-66.105046, Calle Hamburgo #161, Valle Hermoso, D8
-17.468482,-66.087194, Calle Ticti #162, Ushpa Ushpa, D8
-17.465271,-66.111228, Calle Sierra Nevada #163, Ticti Norte, D8
-17.442371,-66.129870, Calle Colorado #164, Valle Hermoso, D8
-17.461011,-66.090460, Calle Roma #165, Ushpa Ushpa, D8
-17.467088,-66.099709, Calle Hamburgo #166, Ticti Norte, D8
-17.461779,-66.091075, Calle Ticti #167, Valle Hermoso, D8
-17.450115,-66.126656, Calle Sierra Nevada #168, Ushpa Ushpa, D8
-17.433734,-66.134866, Calle Colorado #169, Ticti Norte, D8
-17.471375,-66.099527, Calle Roma #170, Valle Hermoso, D8
-17.474588,-66.098389, Calle Hamburgo #171, Ushpa Ushpa, D8
-17.462487,-66.098274, Calle Ticti #172, Ticti Norte, D8
-17.437894,-66.134798, Calle Sierra Nevada #173, Valle Hermoso, D8
-17.474078,-66.094937, Calle Colorado #174, Ushpa Ushpa, D8
-17.425773,-66.137832, Calle Roma #175, Ticti Norte, D8
-17.428280,-66.143236, Calle Hamburgo #176, Valle Hermoso, D8
-17.439092,-66.126999, Calle Ticti #177, Ushpa Ushpa, D8
-17.463600,-66.117161, Calle Sierra Nevada #178, Ticti Norte, D8
-17.479198,-66.091890, Calle Colorado #179, Valle Hermoso, D8
-17.462282,-66.108411, Calle Roma #180, Ushpa Ushpa, D8
-17.456245,-66.090723, Calle Hamburgo #181, Ticti Norte, D8
-17.469510,-66.090123, Calle Ticti #182, Valle Hermoso, D8
-17.470799,-66.104426, Calle Sierra Nevada #183, Ushpa Ushpa, D8
-17.471986,-66.092662, Calle Colorado #184, Ticti Norte, D8
-17.441274,-66.139695, Calle Roma #185, Valle Hermoso, D8
-17.463318,-66.107216, Calle Hamburgo #186, Ushpa Ushpa, D8
-17.468330,-66.090776, Calle Ticti #187, Ticti Norte, D8
-17.466601,-66.113297, Calle Sierra Nevada #188, Valle Hermoso, D8
-17.475154,-66.103286, Calle Colorado #189, Ushpa Ushpa, D8
-17.441607,-66.137877, Calle Roma #190, Ticti Norte, D8
-17.468343,-66.109715, Calle Hamburgo #191, Valle Hermoso, D8
-17.446467,-66.129375, Calle Ticti #192, Ushpa Ushpa, D8
-17.443290,-66.122297, Calle Sierra Nevada #193, Ticti Norte, D8
-17.448118,-66.123669, Calle Colorado #194, Valle Hermoso, D8
-17.472385,-66.100825, Calle Roma #195, Ushpa Ushpa, D8
-17.471976,-66.103485, Calle Hamburgo #196, Ticti Norte, D8
-17.433655,-66.143500, Calle Ticti #197, Valle Hermoso, D8
-17.462821,-66.118373, Calle Sierra Nevada #198, Ushpa Ushpa, D8
-17.430040,-66.145460, Calle Colorado #199, Ticti Norte, D8
-17.456955,-66.120064, Calle Roma #200, Valle Hermoso, D8
-17.428486,-66.142034, Calle Hamburgo #201, Ushpa Ushpa, D8
-17.434975,-66.142358, Calle Ticti #202, Ticti Norte, D8
-17.465149,-66.111426, Calle Sierra Nevada #203, Valle Hermoso, D8
-17.453523,-66.098727, Calle Colorado #204, Ushpa Ushpa, D8
-17.447979,-66.122825, Calle Roma #205, Ticti Norte, D8
-17.445416,-66.121340, Calle Hamburgo #206, Valle Hermoso, D8
-17.474039,-66.105094, Calle Ticti #207, Ushpa Ushpa, D8
-17.471069,-66.088844, Calle Sierra Nevada #208, Ticti Norte, D8
-17.443820,-66.132954, Calle Colorado #209, Valle Hermoso, D8
-17.466686,-66.107565, Calle Roma #210, Ushpa Ushpa, D8
-17.438680,-66.135426, Calle Hamburgo #211, Ticti Norte, D8
-17.463025,-66.116062, Calle Ticti #212, Valle Hermoso, D8
-17.450732,-66.100824, Calle Sierra Nevada #213, Ushpa Ushpa, D8
-17.442148,-66.127680, Calle Colorado #214, Ticti Norte, D8
-17.438437,-66.129416, Calle Roma #215, Valle Hermoso, D8
