-17.442000,-66.170180, Calle Tamborada #100, Pukara Grande, D9
-17.415414,-66.193120, Calle San Benito #101, 1ro de Mayo, D9
-17.440523,-66.206112, Calle Abaroa #102, Tamborada Pukarita, D9
-17.431174,-66.194973, Calle 1ro de Mayo #103, Pukara Grande, D9
-17.470107,-66.182851, Calle Esperanza #104, 1ro de Mayo, D9
-17.451547,-66.180825, Calle Tamborada #105, Tamborada Pukarita, D9
-17.411498,-66.204219, Calle San Benito #106, Pukara Grande, D9
-17.484448,-66.168491, Calle Abaroa #107, 1ro de Mayo, D9
-17.426330,-66.200835, Calle 1ro de Mayo #108, Tamborada Pukarita, D9
-17.427848,-66.217445, Calle Esperanza #109, Pukara Grande, D9
-17.438428,-66.220665, Calle Tamborada #110, 1ro de Mayo, D9
-17.460041,-66.203141, Calle San Benito #111, Tamborada Pukarita, D9
-17.495236,-66.190680, Calle Abaroa #112, Pukara Grande, D9
-17.488293,-66.162766, Calle 1ro de Mayo #113, 1ro de Mayo, D9
-17.443213,-66.157196, Calle Esperanza #114, Tamborada Pukarita, D9
-17.503822,-66.162592, Calle Tamborada #115, Pukara Grande, D9
-17.450478,-66.219955, Calle San Benito #116, 1ro de Mayo, D9
-17.422342,-66.215840, Calle Abaroa #117, Tamborada Pukarita, D9
-17.431990,-66.223340, Calle 1ro de Mayo #118, Pukara Grande, D9
-17.467120,-66.167906, Calle Esperanza #119, 1ro de Mayo, D9
-17.435884,-66.197457, Calle Tamborada #120, Tamborada Pukarita, D9
-17.417128,-66.214292, Calle San Benito #121, Pukara Grande, D9
-17.464286,-66.187843, Calle Abaroa #122, 1ro de Mayo, D9
-17.445648,-66.170499, Calle 1ro de Mayo #123, Tamborada Pukarita, D9
-17.474556,-66.184883, Calle Esperanza #124, Pukara Grande, D9
-17.467830,-66.217887, Calle Tamborada #125, 1ro de Mayo, D9
-17.478330,-66.171906, Calle San Benito #126, Tamborada Pukarita, D9
-17.450221,-66.233340, Calle Abaroa #127, Pukara Grande, D9
-17.431647,-66.197518, Calle 1ro de Mayo #128, 1ro de Mayo, D9
-17.421622,-66.202799, Calle Esperanza #129, Tamborada Pukarita, D9
-17.467516,-66.207853, Calle Tamborada #130, Pukara Grande, D9
-17.451900,-66.171121, Calle San Benito #131, 1ro de Mayo, D9
-17.402502,-66.213839, Calle Abaroa #132, Tamborada Pukarita, D9
-17.423018,-66.217021, Calle 1ro de Mayo #133, Pukara Grande, D9
-17.462532,-66.165360, Calle Esperanza #134, 1ro de Mayo, D9
-17.503481,-66.169386, Calle Tamborada #135, Tamborada Pukarita, D9
-17.440075,-66.218664, Calle San Benito #136, Pukara Grande, D9
-17.496943,-66.188208, Calle Abaroa #137, 1ro de Mayo, D9
-17.438771,-66.198672, Calle 1ro de Mayo #138, Tamborada Pukarita, D9
-17.433700,-66.201238, Calle Esperanza #139, Pukara Grande, D9
-17.480397,-66.206866, Calle Tamborada #140, 1ro de Mayo, D9
-17.418920,-66.208066, Calle San Benito #141, Tamborada Pukarita, D9
-17.463832,-66.175843, Calle Abaroa #142, Pukara Grande, D9
-17.446396,-66.188856, Calle 1ro de Mayo #143, 1ro de Mayo, D9
-17.414179,-66.212616, Calle Esperanza #144, Tamborada Pukarita, D9
-17.492624,-66.159396, Calle Tamborada #145, Pukara Grande, D9
-17.489784,-66.159808, Calle San Benito #146, 1ro de Mayo, D9
-17.503711,-66.170787, Calle Abaroa #147, Tamborada Pukarita, D9
-17.441874,-66.174448, Calle 1ro de Mayo #148, Pukara Grande, D9
-17.441390,-66.223271, Calle Esperanza #149, 1ro de Mayo, D9
-17.481406,-66.157041, Calle Tamborada #150, Tamborada Pukarita, D9
-17.406741,-66.202020, Calle San Benito #151, Pukara Grande, D9
-17.436092,-66.216552, Calle Abaroa #152, 1ro de Mayo, D9
-17.451599,-66.177457, Calle 1ro de Mayo #153, Tamborada Pukarita, D9
-17.423013,-66.193264, Calle Esperanza #154, Pukara Grande, D9
-17.459704,-66.221610, Calle Tamborada #155, 1ro de Mayo, D9
-17.454259,-66.215203, Calle San Benito #156, Tamborada Pukarita, D9
-17.445042,-66.186248, Calle Abaroa #157, Pukara Grande, D9
-17.499848,-66.155706, Calle 1ro de Mayo #158, 1ro de Mayo, D9
