nro_distrito,zona,cantidad,distrito_id,zona_id
1,QUERU QUERU ALTO,2718,8574cc7d-685b-4fc0-93bf-819610c775e7,670ed70f-7d24-4066-bb19-0de380401bbd
1,ARANJUEZ ALTO,1514,8574cc7d-685b-4fc0-93bf-819610c775e7,d1540bc3-e7b5-4c70-a172-91b5c1802431
1,MESADILLA,2040,8574cc7d-685b-4fc0-93bf-819610c775e7,5fd1b045-89fe-4ef8-b14c-b4dc5896ad5d
2,MAYORAZGO,1430,346c3928-f3af-4167-952d-84036b7625eb,e4310ecf-d177-4ea1-8b41-8933ad56e64e
2,CALA CALA,436,346c3928-f3af-4167-952d-84036b7625eb,f0df9039-19b4-4a8d-8f10-ad4125e7a3b6
2,CONDEBAMBA,392,346c3928-f3af-4167-952d-84036b7625eb,5f202c8d-7644-434a-8b01-e67ee67e7065
2,TEMPORAL PAMPA,1553,346c3928-f3af-4167-952d-84036b7625eb,35e9ea5d-3fbe-4b92-a763-3a7b20af47ce
2,QUERU QUERU ALTO,3217,346c3928-f3af-4167-952d-84036b7625eb,670ed70f-7d24-4066-bb19-0de380401bbd
13,LA TEMIBLE CARA CARA,1521,00a29e1d-ebf5-4ce0-a3be-b20bb96abca5,6405484e-8085-4d61-82e7-1c10ab171b4f
3,SARCO,3275,0ae045cb-a267-4203-bbdc-38be4c2f333a,e4858212-c010-4a6a-acf2-7302efd787dd
3,HIPODROMO,683,0ae045cb-a267-4203-bbdc-38be4c2f333a,e5330491-381d-4609-a3c8-ded6cb981d92
3,SARCOBAMBA,3097,0ae045cb-a267-4203-bbdc-38be4c2f333a,5fa6ee2d-7182-424a-b33e-db84f9160dbf
3,VILLA BUSCH,1198,0ae045cb-a267-4203-bbdc-38be4c2f333a,1980ce29-828e-49da-b854-5d6fddf725f8
3,CHIQUICOLLO,2978,0ae045cb-a267-4203-bbdc-38be4c2f333a,cb2ed40a-058b-4a58-85a9-f8425df5c138
4,HIPODROMO,1606,b7fcf812-201a-48ea-9e2a-7bb1bdb1cc5d,e5330491-381d-4609-a3c8-ded6cb981d92
4,LA CHIMBA,728,b7fcf812-201a-48ea-9e2a-7bb1bdb1cc5d,035bb523-6140-439c-a5fe-5fa522bab5b9
4,VILLA BUSCH,1083,b7fcf812-201a-48ea-9e2a-7bb1bdb1cc5d,1980ce29-828e-49da-b854-5d6fddf725f8
4,COÑA COÑA,2668,b7fcf812-201a-48ea-9e2a-7bb1bdb1cc5d,00eae8ea-85a0-4a77-8dcc-53b8ec5eae4a
5,SUDESTE,1354,2d5dafad-7d0c-4fa4-adc3-8ca84cdaf1f0,0f2c4f42-1018-4d98-8fbb-b898922f4990
5,LA MAICA,3067,2d5dafad-7d0c-4fa4-adc3-8ca84cdaf1f0,ac3e31e4-ee35-431f-b883-7111a1ecab10
5,JAIHUAYCO,2969,2d5dafad-7d0c-4fa4-adc3-8ca84cdaf1f0,c3466804-908e-4fe4-9062-e3861c3f134d
5,ALALAY NORTE,3163,2d5dafad-7d0c-4fa4-adc3-8ca84cdaf1f0,378e1a86-ce34-42d9-a1f9-285f657a45f7
5,LACMA,1367,2d5dafad-7d0c-4fa4-adc3-8ca84cdaf1f0,3895a95b-f1fd-4dd0-aab3-9065e7d10f5b
8,TICTI,867,49f6e26f-2f2c-4780-bed7-20c43cd92701,9e764e40-152e-4052-a487-c7af94eee4a7
8,VALLE HERMOSO,1827,49f6e26f-2f2c-4780-bed7-20c43cd92701,b8d3f16e-b09e-42f9-94c0-f99384842531
